CHICHESTER-SELHURST-PARK,,,,,,,,,,
Grid ref,SU885130,Long,-0.74259925,Lat,50.909695,Elevation,190,ft,,
Station no,RR7718,,,,,,,,,
,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,1.9,,,4.35
February,,,,,,,0.58,,,3.33
March,,,,,,,4.37,,,0.97
April,,,,,,,0.53,,,2.88
May,,,,,,,0.15,,,0.79
June,,,,,,,3.64,,,1.38
July,,,,,,,0.97,,,3.24
August,,,,,,,1.31,,,0.8
September,,,,,,,7.83,,,3.64
October,,,,,,,4.86,,,2.21
November,,,,,,,1.06,,,5.36
December,,,,,,,7.6,,,2.19
Total,,,,,,,34.8,,,31.14
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
1896 Gauge moved to Charlton,,,,,,,,,,
