FETTERCAIRN FASQUE GARDENS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NO649757,Long,-2.577421,Lat,56.871366,Elevation,320,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,2.54,3.45,3.73,3.61,1.15,2.24,0.78,5.04,5.85,1.38,1.24,4.99,1.9,0.63,2.92,1.54,3.08,1.56,2.25,1.75,4.64,5.11,1.97,3.26,2,2.62,,4.7,,2.35,3.66,,3.66,2.14,5.15,2.14,5.53,2.13,3.37,3.67,3.01,2.78,2.7,1.31,5.72,7.4,4.4,4.31,1.85,3.18,5.46,4.57,1.99,4.61,1.81,4.98,4.04,1.34,2.29,4.98,1.76,0.43,1.51,1.61,4.82,3.31,4.63,2.49,6.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,2.95,3.36,5.04,1.7,1.01,1.25,1.75,3.44,5.82,3.39,1.86,4.36,5.46,1.81,2.17,1.7,1.16,0.93,3.33,1.33,3.9,1.07,3.16,6.38,3.26,1.34,,2.19,,0.64,1.66,,1.66,5.68,4.86,1.71,1.3,3.43,1.89,2.31,0.38,3.28,0.25,2.64,4.15,4,1.33,2.93,2.71,7.25,2.25,1.67,1.45,2.75,1.48,2.1,2.76,2.05,2.94,3.78,1.38,1.02,2.28,3.69,1.81,3.27,3.69,0.39,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.73,1.03,1.26,3.95,1.81,5.8,2.13,2.86,2.59,2.56,1.82,3.57,2.65,4.17,2.03,1.86,5.02,7.72,1.7,2.4,2.29,5.36,4.43,1.66,3.61,2.6,,2.45,,2.5,1.05,,1.05,2.11,1.02,3.58,5.42,0.2,1.62,1.64,3.31,2.41,3.03,1.96,2.65,4.72,0.72,3.55,3.18,2.26,2.27,0.8,0.9,0.5,2.38,3.71,1.05,1.99,2.81,3.22,4.7,0.24,2.5,1.89,1.85,3.3,6.11,1.98,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,0.21,1.11,1.4,1.36,1.04,2.23,8.26,4.66,2.19,3.06,2.84,2.22,1.67,3.62,1.73,2.93,1.84,3.43,3.42,1.85,0.49,3.24,0.59,0.87,2.52,1.45,,4.41,,1.47,2.27,,2.27,4.06,3.29,1.66,1.87,2.17,4.21,3.21,3.57,1.98,7.52,5.04,0.92,2.06,0.79,0.77,1.96,2.16,2.19,1.35,2.51,1.62,0.4,3.18,1.5,1.68,2.06,3.29,1.83,3.4,0.97,0.76,1.48,1.23,2.45,2.68,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,3.31,2.31,5.5,0.58,1.38,2.21,2,3.78,3.58,2.05,3.64,1.81,3.12,1.76,5.98,6.81,1.4,3.44,2.41,1.39,1.61,5.15,3.16,0.97,3.98,2.35,,1.18,,1.7,4.88,,4.88,4.19,2.58,3.14,1.38,2.23,1.56,3.83,4.09,1.14,3.46,2.2,1.57,1.77,3.24,1.39,1.7,2.6,4.02,5.97,3.06,5.1,1.96,4.86,3.91,1.83,1.45,1.3,2.99,2.36,3.89,2.91,0.84,1.94,3.55,1.68,1.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,3.3,3.37,1.81,2.62,2.09,4.11,1.13,2.34,3.66,2.12,2.46,2.28,0.8,0.61,0.84,5.06,1.44,1.36,1.75,2.22,2.37,2.5,0.73,0.61,3.52,1.51,,1.06,,0.83,1.63,,1.63,0.69,3.66,3.27,3,2.51,2.61,5.39,0.97,1.3,1.07,4.35,1.32,1.93,4.6,1.56,0.31,2.1,1.28,2.15,3.04,3.38,3.29,1.61,4.1,1.34,0.88,2.24,3.18,1.54,1.76,1.14,3.29,1.84,2.77,4.3,1.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,2.47,2.52,2.87,5.1,4.21,1.79,0.98,2.87,5.51,0.9,3.31,5.97,1.16,1.88,1.68,2.21,2.78,5.32,2.42,2.87,2.11,0.86,2.65,4.58,6.46,1.12,,0.66,,2.05,5.26,,5.26,2.91,2.29,1.63,2.82,4.68,2.06,4.54,4.43,2.38,2.43,1.58,6.13,3.58,5.39,5.35,6.78,2.84,3.35,1.63,2.1,2.49,4.97,2.29,2.18,3.09,4.75,4.66,2.01,3.51,2.31,0.98,4.84,5.25,6.46,2.51,4.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,4.29,3.27,6.06,5,2.3,4.13,3.49,0.8,4.65,3.7,3.8,4.18,4.94,4.04,4.98,3.01,3.55,2.12,6.61,1.36,4.98,1.36,1.99,2.18,3.82,6.28,,3.23,,2.09,4.57,,4.57,2.25,2.16,4.01,5.59,3.78,7.2,3.72,0.85,1.33,3.96,2.24,1.47,4.58,2.05,1.9,1,3.88,3.21,3.81,1.66,4.7,3.82,0.06,5.93,3.79,3.13,4.07,2.36,1.85,2.44,0.78,5.33,7.65,4.09,0.82,4.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.09,3.68,0.8,1.34,3.7,2.05,1.7,2.76,2.82,1.74,2.36,3.7,2.36,1.96,1.16,1.46,4.45,1.19,1.19,1.43,3.35,3.75,0.76,1.92,1.19,2.83,,3.02,,1.32,4.18,,4.18,3,3.74,5.54,2.81,0.81,5.83,1.31,2.15,2.45,3.89,4.55,3.49,1.68,3.15,2.71,2.29,1,2.98,2.87,2.83,2.87,5.34,2.73,2.66,1.9,7.34,2.1,0.74,2.43,2.2,2.47,4.99,2.68,3.61,0.87,3.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,6.95,2.02,3.74,3.9,5.01,2.52,4.97,2.85,2.89,2.73,1.29,6.86,1.56,2.99,6.37,4.92,4.02,3.68,2.74,3.04,5.13,2.1,3.76,4.3,5.72,3.76,,3.46,,1.48,5.1,,5.1,3.09,5.45,5.66,3.96,3.19,3.6,1.39,7.73,5.15,4.64,6.02,1.57,2.84,4.3,5.88,5.16,5.27,3.55,3.19,6.1,4.93,0.63,2.38,3.34,4.07,1.26,1.14,3.67,1.59,6.32,3.75,3.06,1.86,1.99,4.63,10.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,3.23,4.71,2.34,5.06,1.68,2.81,5.44,2.34,5.67,1.56,5.18,1.55,1.42,8.31,5.64,2.47,2.32,1.17,4.82,4.95,2.92,1.54,3.72,3.97,5.3,3.5,,5.52,,3.53,2.57,,2.57,1.93,6.62,4.29,3.57,4.92,4.33,7.21,1.83,4.55,1.67,6.14,2.14,1.1,4.66,5.18,6.67,7.47,0.76,3.13,5.16,2.39,7.28,2.95,1.65,4.92,3.91,9.99,3.09,2.73,7.17,2.89,1.37,1.78,0.97,7.09,5.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
