"LAING (DALNESSIE)",,,,,,,,,,,,
Grid ref,NC631152,Long,-4.324725,Lat,58.104558,,,,,,,
Station no,5800/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,,-999.00,6.75,3.79,,
February,,,,,,,,,1.00,2.79,,
March,,,,,,,,,1.35,1.45,,
April,,,,,,,,,2.65,2.25,,
May,,,,,,,,,1.75,1.33,,
June,,,,,,,,,2.30,4.22,,
July,,,,,,,,,3.68,2.77,,
August,,,,,,,,-999.00,2.98,4.26,,
September,,,,,,,,0.51,1.88,1.51,,
October,,,,,,,,4.80,5.93,3.62,,
November,,,,,,,,1.45,5.56,2.71,,
December,,,,,,,,5.20,2.86,3.17,,
Total,,,,,,,,-999.00,38.69,33.87,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.96,38.69,33.87,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1010.96,0.00,-0.00,,
