PATELEY-BRIDGE-SKELL-BECK,,,,,,,,,,,,,,,,,,,,
Grid ref,SE188688,Long,-1.7139053,Lat,54.114733,Elevation,900,ft.,,,,,,,,,,,,
Station no,3374/8,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,9.14,1.61,2.3,4.07,4.57,1.15,3.33,3.73,4.35,4.34,3.73,3.2,5.45
February,,,,,,,,2.45,2.57,6.38,5.05,1.72,2.7,4.76,2.96,3,3.22,6.2,0.29,3.1
March,,,,,,,,1.92,1.52,1.42,5.01,3.1,0.73,2.53,2.57,1.54,2.37,2.26,2.15,2.97
April,,,,,,,,2.95,3.67,3.12,1.98,1.96,3.27,0.61,1.03,2.31,0.38,0.69,3.65,2.16
May,,,,,,,2.45,1.14,1.6,1.29,7.78,1.53,2.98,5.42,3.09,1.12,1.33,6.38,0.96,2.14
June,,,,,,,3.95,3.4,0.54,1.02,1.41,1.67,3.93,2.57,2.79,3.54,1.54,3.64,1.43,1.2
July,,,,,,,2.45,1.42,2.31,3.27,1.63,1.27,4.32,3.57,1.1,6.1,3.08,3.82,1.87,5.1
August,,,,,,,1.47,5.22,3.66,5.69,5.93,4.15,4.12,7.26,1.18,8,6.33,2.97,0.51,3.75
September,,,,,,,1.85,2.09,2.07,5.32,2.38,5.22,3.55,3.65,1.62,3.82,4.82,4.48,0.31,2.83
October,,,,,,,1.35,1.22,4.5,1.6,1.89,5.43,3.46,6.45,2.44,1.49,4.22,2.95,3.27,6.95
November,,,,,,,4.02,1.27,5.68,5.2,10.48,2.57,2.98,7.27,2.76,0.82,2.42,0.95,5.66,5.35
December,,,,,,,3.25,3.75,6.17,1.63,5.72,3.15,2.12,3.97,4.86,4.78,3.82,4.82,6.75,5.91
Total,,,,,,,,35.97,35.9,38.24,53.33,36.34,35.31,51.39,30.13,40.87,37.87,42.89,30.05,46.91
,,,,,,,,,,,,,,,,,,,,
NGR is from the 1950s record and is near Skell Beck at the stated altitude,,,,,,,,,,,,,,,,,,,,
