"BRAMPTON DENTON HOUSE",,,,,,,,,,,,
Grid ref,NY583625,Long,-2.652677,Lat,54.955387,,,,,,,
Station no,RR1567,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.08,1.88,2.99,4.50,2.86,0.98,4.75,1.12,2.41,2.66,,
February,2.73,1.17,0.67,4.48,1.84,1.63,1.99,1.15,2.47,2.18,,
March,0.43,1.71,2.76,3.45,1.89,2.91,2.19,2.84,2.93,2.51,,
April,3.53,1.64,1.47,1.50,2.98,3.49,1.16,2.58,1.78,2.84,,
May,1.92,1.16,1.87,2.03,2.35,1.80,5.10,3.23,3.28,1.60,,
June,5.09,1.68,1.49,1.68,1.69,1.31,2.44,4.32,1.40,2.68,,
July,2.21,1.17,3.70,4.88,1.34,1.67,2.54,2.88,3.12,5.88,,
August,6.22,3.30,1.87,6.32,4.13,4.15,5.25,3.68,3.91,3.92,,
September,2.25,1.01,1.01,4.32,1.55,3.13,1.54,0.26,3.64,2.16,,
October,5.29,3.25,3.21,8.01,1.30,2.02,4.28,5.16,1.13,5.25,,
November,3.08,4.24,0.95,2.67,2.59,2.60,2.84,2.05,2.42,1.76,,
December,4.06,3.88,3.40,2.23,2.30,1.92,2.51,3.74,1.73,4.69,,
Total,39.89,26.09,25.39,46.07,26.82,27.61,36.59,33.01,30.22,38.13,,
Calc annual,39.89,26.09,25.39,46.07,26.82,27.61,36.59,33.01,30.22,38.13,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
