BRAMPTON DENTON HOUSE - new gauge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY583625,Long,-2.652677,Lat,54.955387,Elevation,541,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,3.91,2.37,2.74,1.32,2.32,2.26,2.51,0.44,2.12,5.2,3.08,1.88,2.99,4.5,2.86,0.98,4.75,1.12,2.41,2.66,3.16,,,,,,,,,
February,0.97,0.2,2.52,3.16,4.9,0.67,1.75,2.18,3.36,1.82,2.73,1.17,0.67,4.48,1.84,1.63,1.99,1.15,2.47,2.18,4.57,,,,,,,,,
March,2.51,1.51,1.07,1.53,1.73,2.73,5.09,4.45,1.03,1.73,0.43,1.71,2.76,3.45,1.89,2.91,2.19,2.84,2.93,2.51,1.39,,,,,,,,,
April,1.47,1.35,1.28,0.73,1.03,1.13,1.99,2.21,4.28,2.43,3.53,1.64,1.47,1.5,2.98,3.49,1.16,2.58,1.78,2.84,2.35,,,,,,,,,
May,1.71,1.33,4.04,1.67,3.11,0.51,0.65,1.6,2.67,2.81,1.92,1.16,1.87,2.03,2.35,1.8,5.1,3.23,3.28,1.6,2.79,,,,,,,,,
June,4.12,1.65,2.82,2.15,3.04,2.5,2.87,3.33,3.17,0.83,5.09,1.68,1.49,1.68,1.69,1.31,2.44,4.32,1.4,2.68,1.67,,,,,,,,,
July,2.66,3.65,2.36,2.68,3.01,5.82,3.64,1.99,2.59,4.95,2.21,1.17,3.7,4.88,1.34,1.67,2.54,2.88,3.12,5.88,4.14,,,,,,,,,
August,4.88,7.05,5.76,4.02,6.03,5.47,2.29,3.54,6.37,0.74,6.22,3.3,1.87,6.32,4.13,4.15,5.25,3.68,3.91,3.92,4.7,,,,,,,,,
September,3.46,5.51,7.52,4.72,0.3,1.12,3.67,5.14,1.68,4.52,2.25,1.01,1.01,4.32,1.55,3.13,1.54,0.26,3.64,2.16,0.56,,,,,,,,,
October,2.36,2.04,4.74,3,2.91,4.01,3.42,1.99,5.52,2.33,5.29,3.25,3.21,8.01,1.3,2.02,4.28,5.16,1.13,5.25,1.7,,,,,,,,,
November,5.52,2.02,1.84,2.06,3.83,2.82,1.21,3.89,2.74,3.62,3.08,4.24,0.95,2.67,2.59,2.6,2.84,2.05,2.42,1.76,3.81,,,,,,,,,
December,0.59,6.74,1.5,3.2,2.66,2.42,3.9,3.67,4.59,1.93,4.06,3.88,3.4,2.23,2.3,1.92,2.51,3.74,1.73,4.69,2.27,,,,,,,,,
Total,34.16,35.42,38.19,30.24,34.87,31.46,32.99,34.43,40.12,32.91,39.89,26.09,25.39,46.07,26.82,27.61,36.59,33.01,30.22,38.13,33.11,,,,,,,,,
