"BRAMPTON, DENTON HOUSE initially read daily, monthly from 1890 onwards",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY583625,Long,-2.652677,Lat,54.955387,Elevation,541,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,0.97,0.55,2.81,3.98,7.05,1.7,4.88,2.2,1.38,1.38,3.91,2.27,2.6,1.26,2.29,2.11,2.27,0.55,2.06,5.16,2.99,1.84,2.75,4.51,,,4.64,,,
February,2.29,3.31,3.56,2.48,2.17,2.34,1.14,1.64,0.99,1.85,1.02,0.21,2.62,3.2,4.98,0.67,1.64,1.9,3.08,1.76,2.76,0.95,0.74,4.37,,,1.85,,,
March,1.05,3.52,3.73,1.18,2.08,2.36,3.72,2.22,3.27,2.75,2.5,1.65,1.09,1.43,1.78,2.82,5.12,4.4,1.08,1.75,0.4,1.74,2.68,3.37,,,1.83,,,
April,2.85,1.67,3.26,1.27,1.54,1.76,2.39,2.43,1.39,2.56,1.49,1.4,1.26,0.74,1.06,1.13,1.96,2.13,4.24,2.45,3.43,1.54,1.44,1.51,,,1.04,,,
May,1.93,2.55,1.56,1.45,3.46,2.47,3.9,1.53,1.17,1.72,1.71,1.34,4.11,1.72,3.13,0.51,0.62,1.56,2.73,2.99,1.93,1.2,1.8,2.1,,,5.16,,,
June,3.63,2.95,6.78,3.13,0.61,1.25,2.61,0.37,1.6,0.76,4.2,1.7,2.87,2.22,3.08,2.55,2.99,3.52,3.2,0.89,5.37,1.61,1.51,1.72,,,2.39,,,
July,6.54,4.41,4.64,3.57,9.38,1.71,5.04,2.51,6.04,2.82,2.57,3.72,2.32,2.61,3.03,5.81,3.8,2,2.58,5.1,2.2,1.2,3.73,5.21,,,2.42,,,
August,0.97,5.47,2.99,4.18,1.29,3.01,1.86,3.04,4.03,5.66,5.02,7.03,5.8,3.98,6.08,5.38,2.25,3.65,6.42,0.75,6.27,3.26,1.95,6.32,,,5.31,,,
September,5.03,4.37,1.76,5.52,2.46,2.61,4.72,5.81,1.85,2.4,3.41,5.46,7.47,4.6,0.3,1.05,3.77,5.23,1.65,4.58,2.17,1.06,1.06,4.42,,,1.47,,,
October,3.66,5.87,3.91,3.75,1.89,3.81,4.63,2.06,2.28,4.97,2.35,2.1,4.82,3.02,2.97,4.07,3.52,2.06,5.58,2.2,5.35,3.32,3.22,8.21,,,4.3,,,
November,4.25,3.91,4.91,3.63,1.74,1.71,4.36,3.35,4.23,1.21,5.49,2.05,1.76,1.85,3.61,2.8,1.2,3.88,2.68,3.37,3.14,4.6,1.03,2.55,,,2.86,,,
December,5.3,4.34,3.71,3.42,5.13,1.67,5.12,3.15,1.39,2.25,0.66,6.61,1.44,2.9,2.54,2.26,3.95,3.52,4.46,2.1,3.95,3.84,3.4,2.35,,,2.37,,,
Total,38.47,42.92,43.62,37.56,38.8,26.4,44.37,30.31,29.62,30.33,34.33,35.54,38.16,29.53,34.85,31.16,33.09,34.4,39.76,33.1,39.96,26.16,25.31,46.64,,,35.64,,,
