TARBATRESS,,,,,,,,,,,,
Grid ref,NH947875,Long,-3.776495,Lat,57.864532,,,,,,,
Station no,5778,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.62,0.79,0.61,0.93,0.67,,,,,,,
February,1.38,1.37,0.97,1.09,1.24,,,,,,,
March,1.46,2.23,0.29,1.40,0.82,,,,,,,
April,2.18,0.42,1.20,0.77,1.12,,,,,,,
May,0.47,1.32,1.69,3.09,2.39,,,,,,,
June,0.89,1.21,1.05,2.29,1.47,,,,,,,
July,1.18,1.78,3.56,2.52,0.35,,,,,,,
August,3.57,3.25,2.01,1.68,0.31,,,,,,,
September,0.73,1.06,1.53,1.80,1.91,,,,,,,
October,1.08,1.18,0.84,4.22,3.65,,,,,,,
November,4.05,1.70,1.79,2.36,1.09,,,,,,,
December,2.65,1.54,1.78,3.89,4.24,,,,,,,
Total,22.26,17.85,17.32,26.04,19.26,,,,,,,
Calc annual,22.26,17.85,17.32,26.04,19.26,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,0.00,0.00,0.00,0.00,NaN,NaN,NaN,NaN,NaN,,
