TARBATNESS,,,,,,,,,,,,
Grid ref,NH947875,Long,-3.776495,Lat,57.864532,,,,,,,
Station no,5778,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,2.76,1.47,1.20,2.95,0.38,0.95,1.09,1.82,1.44,2.01,,
February,0.42,2.73,0.40,1.35,1.78,1.41,1.00,1.58,1.52,0.45,,
March,1.32,1.42,1.92,6.40,0.30,1.86,0.90,0.83,2.58,2.00,,
April,2.01,1.57,1.07,5.00,1.88,0.70,1.20,0.92,1.23,2.04,,
May,1.19,1.30,1.54,2.30,0.86,1.17,2.97,1.47,1.32,1.84,,
June,1.02,2.08,3.75,6.10,0.56,0.62,0.58,3.91,1.54,1.80,,
July,2.86,2.44,1.75,,0.52,1.12,1.84,1.27,1.05,1.69,,
August,1.67,3.02,1.80,,1.92,1.96,3.12,2.88,1.04,1.67,,
September,2.29,1.45,1.79,1.13,1.29,1.01,1.48,0.60,4.23,1.49,,
October,1.83,3.56,3.27,2.47,0.91,1.71,1.99,2.10,0.85,1.89,,
November,3.28,2.77,1.00,1.92,1.26,2.17,4.23,1.89,2.16,1.07,,
December,5.70,2.46,4.15,0.49,1.36,0.55,1.84,1.78,0.61,0.84,,
Total,26.35,26.27,23.64,,13.02,15.23,22.24,21.05,19.57,18.79,,
Calc annual,26.35,26.27,23.64,30.11,13.02,15.23,22.24,21.05,19.57,18.79,,
Difference,0.00,0.00,0.00,NaN,0.00,0.00,0.00,0.00,0.00,0.00,,
