LITTLEBOURNE-HOUSE,,,,,,,,,,,,,,,,,,,,
Grid ref,TR210573,Long,1.1669418,Lat,51.271974,Elevation,37,ft,,,,,,,,,,,,
Station no,RR6917,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,,,1.29,2.91,1.02,2.19,0.69,2.47,1.66,2.21,3.42,0.81,,,,,
February,,,,,,0.95,2.01,1.53,1.31,1.02,2.71,0.88,1.67,0.69,2.36,,,,,
March,,,,,,2.83,1.77,0.7,2.32,3.74,1.59,2.17,3.11,2.48,4.7,,,,,
April,,,,,,2.82,0.85,2.3,1.81,1.48,2.5,1.18,0.2,2.02,1.47,,,,,
May,,,,,,1.12,1.62,2.08,2.32,0.76,3.26,1.02,0.91,1.19,1.08,,,,,
June,,,,,,4.85,2.23,1.86,1.11,2.93,2.9,2.01,2.98,0.49,1.26,,,,,
July,,,,,,1.06,1.31,1.14,2.74,2.32,1.8,0.35,2.58,1.67,2.59,,,,,
August,,,,,,2.16,0.24,1.7,3.05,3.43,2.2,1.2,5.87,1.53,0.87,,,,,
September,,,,,,1.95,2.12,0.26,2.19,2.61,1.01,1.13,3.09,1.59,0.63,,,,,
October,,,,,,2.22,2.59,4.72,1.73,6.81,2.17,5.78,3.58,3.55,3.36,,,,,
November,,,,,,2.81,4.66,2.83,1.12,0.65,4.36,3.95,2.19,3.09,3.58,,,,,
December,,,,,,0.51,2.17,2.47,2.38,4.25,4,5.04,2.48,1.09,6.06,,,,,
Total,,,,,,24.57,24.48,22.61,24.27,30.69,30.97,26.37,30.87,22.81,28.77,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1906 Jun IDR,,,,,,,,,,,,,,,,,,,,
