BLACKSHIELS (FALADAM),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NT430616,Long,-2.9118338,Lat,55.844228,Elevation,600,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5110/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,0.97,2.89,2.01,2.49,2.36,1.69,1.55,4.39,3.64,2.79,5.81,0.82,2.5,3.88,2.72,1.78,4.31,1.99,3.6,6.2,,
February,,,,,,,,,,0.83,1.3,1.93,0.67,1.94,0.09,1.98,2.92,4.06,1.66,1.51,1.42,3.64,1.29,1.53,1.98,2.67,1.22,2.32,2.24,,
March,,,,,,,,,,0.08,2.28,1.44,2.95,0.62,4.15,1.41,3.3,3.98,0.54,3.24,2.82,2.59,0.96,1.21,0.52,0.79,2.16,4.66,1.43,,
April,,,,,,,,,,2.07,1.63,2.54,2.17,1.56,3.78,3.24,1.69,0.93,0.28,1.26,2.11,1.53,1.35,0.99,1.92,1.04,0.49,4,2.01,,
May,,,,,,,,,,1.86,1.54,2.01,2.79,2.01,2.57,1.14,1.1,2.98,3.4,0.77,2.21,2.39,1.74,3.75,3.58,4.1,2.05,3.09,1.94,,
June,,,,,,,,,4.76,2.76,1.66,4.65,0.89,2.06,2.29,1.57,1.85,0.85,4.55,2.01,1.03,1.52,1.27,2.04,2.13,2.46,1.52,3.25,4.43,,
July,,,,,,,,,1.82,2.22,5.08,3.41,2.38,4.99,2.33,1.08,4.74,4.3,2.72,2.24,8.29,3.64,3.4,2.38,2.02,1.83,3.21,2.96,2.03,,
August,,,,,,,,,5.29,4.87,5.69,7.84,1.02,0.83,3.35,2.72,1.6,3.91,1.12,1.13,1.1,3.96,1.97,3.99,3.14,3.77,3.47,0.21,,,
September,,,,,,,,,2.58,0.17,3.83,1.7,1.77,2.38,1.94,2.43,3.26,2.44,1.93,1.85,2.85,1.14,1.71,1.52,4.94,2.85,3.07,1.44,,,
October,,,,,,,,,3.35,3.19,2.36,1.26,7.26,2.81,4.29,6.67,2.11,3.16,5.26,3.91,2.84,2.94,3.1,2.68,2.56,3.15,0.68,0.78,,,
November,,,,,,,,,3.54,3.04,4.54,3.37,1.19,1.92,3.91,4.23,3.04,0.72,4.76,3.16,4.62,3.34,0.77,1.13,6.25,0.43,5.36,3.87,,,
December,,,,,,,,,1.86,4.77,2.23,0.86,3.59,1.3,4.22,1.59,2.26,5.01,3.32,1.52,2.37,0.94,1.85,1.07,3.57,2.52,2.97,2.37,,,
Total,,,,,,,,,,26.83,35.03,33.02,29.17,24.78,34.61,29.61,32.26,35.98,32.33,28.41,32.48,30.13,23.29,25.01,34.39,29.92,28.19,32.55,,,
