"COLTISHALL",,,,,,,,,,,,
Grid ref,TG262229,Long,1.350699,Lat,52.756327,,,,,,,
Station no,1430,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,,,,,,,3.56,1.42,0.82,0.90,,
February,,,,,,,2.16,1.54,1.66,0.72,,
March,,,,,,,1.92,1.36,1.97,3.04,,
April,,,,,,,0.51,2.89,1.95,1.54,,
May,,,,,,,3.54,2.22,1.28,1.15,,
June,,,,,,,1.93,2.36,0.88,3.81,,
July,,,,,,,0.40,0.78,2.54,3.85,,
August,,,,,,,2.07,1.32,2.19,1.90,,
September,,,,,,,1.22,0.41,1.91,1.88,,
October,,,,,,,2.55,3.11,1.39,4.49,,
November,,,,,,,5.13,2.23,2.08,1.65,,
December,,,,,,,3.19,1.96,1.37,4.97,,
Total,,,,,,,28.18,21.60,20.04,29.90,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,28.18,21.60,20.04,29.90,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00,-0.00,0.00,,
