COLTISHALL (MANOR HOUSE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TG274196,Long,1.3661637,Lat,52.726209,Elevation,30,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,3.56,1.42,0.82,0.9,2.7,2.11,2.37,2.73,2.13,3,1.6,1.99,,,2.26,1.84,4.83,1.95,2.14,1.2,2.49,2.32,3.23,1.61,1.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,2.16,1.54,1.66,0.72,1.96,1.96,1.5,0.63,1.38,2.68,4.07,1.06,,,0.7,0.52,2.53,3.24,1.81,1.83,1.83,2.23,1.44,0.9,1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,1.92,1.36,1.97,3.04,0.77,2.4,2.37,2.27,3.03,2.23,3.34,3.09,,,1.21,0.97,1.84,1.69,0.75,1.87,0.33,2.06,1.44,0.08,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,0.51,2.89,1.95,1.54,2.13,1.12,0.36,2.07,0.53,0.74,1.65,1.94,,,3.07,1.67,2.97,0.84,1.61,2.46,2.24,1.49,1.3,1.22,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,3.54,2.22,1.28,1.15,3.18,1.25,0.7,1.69,1.07,1.95,1.92,0.56,,,1.36,1.65,0.85,1.24,3.51,2.18,0.95,0.7,2.03,1.03,2.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,1.93,2.36,0.88,3.81,2.46,3.25,2.62,0.81,1.8,0.71,3.1,1.98,,,1.93,0.32,1.37,0.78,1.81,0.65,2.16,4.74,2.33,0.92,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,0.4,0.78,2.54,3.85,3.84,0.57,4.41,3,2.95,3.97,1.04,2.83,,,3.85,0.49,6.93,2.82,2.08,1.81,1.58,2.49,1.6,3.97,3.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,2.07,1.32,2.19,1.9,1.27,0.56,10.06,0.83,0.9,2.41,4.05,4.32,,,2.04,1.94,1.2,2.88,2.76,2.12,2.07,3.24,1.37,1.15,2.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,1.22,0.41,1.91,1.88,1.5,2,2.64,2.05,1.53,1.4,1.47,1.75,,,2.36,1.25,2.95,1.34,3.18,3.01,1.38,3.84,1.13,0.72,5.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,2.55,3.11,1.39,4.49,1.73,2.38,1.96,3.26,2.2,1.93,2.43,3.63,,,0.85,1.47,1.41,3.44,3.66,1.73,2.78,2.55,2.55,3.02,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
