MORETON-IN-MARSH-LONGBOROUGH (OLD GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,SP179297,Long,-1.740876,Lat,51.965493,Elevation,575,ft,,,,,,,,,,,,
Station no,RR6309,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,2.11,3.27,3.27,2.49,4.14,3.59,0.87,0.94,3.27,2.5,1.78,2.58,,,,,,
February,,,2.71,4.73,1.72,3.98,0.87,0.87,1.81,2.6,0.67,0.06,1.31,3.86,,,,,,
March,,,1.81,1.51,2.5,1.21,2.44,2.27,3.75,3.97,1.08,2.48,1.17,0.4,,,,,,
April,,,4.25,1.17,2.55,2.72,2.26,1.77,1.87,3.61,1.09,1.35,0.97,0.22,,,,,,
May,,,2.18,1.67,1.01,2.96,4.74,2.32,1.92,3.2,2.18,4.1,1.72,1.64,,,,,,
June,,2.95,4.24,4.53,3.38,1.92,1.4,1.92,2.6,1,2,1.58,2.18,1.1,,,,,,
July,,2.52,3.87,3.68,3.75,0.23,4.28,0.53,5.35,3.28,2.6,2.12,2.07,3.22,,,,,,
August,,5.8,2.83,1.24,1.76,3.07,1.54,1.17,2.85,3.59,2.56,5.02,3.11,1.88,,,,,,
September,,2.16,5.51,5.28,1.65,3.77,3.02,2.6,2.05,2.26,1.18,1.7,2.71,1.03,,,,,,
October,,2.74,6.48,2.88,1.12,4.13,4.95,2.93,0.74,3.19,1.7,7.12,2.61,2.75,,,,,,
November,,3.97,4.59,4.02,1.91,4.59,2.77,3.05,6.55,1.72,2.89,2.77,2.42,2.27,,,,,,
December,,3.69,4.22,0.84,2.59,1.1,4.62,2.28,2.98,1.85,1.05,4.65,1.28,3.03,,,,,,
Total,,,44.8,34.82,27.21,32.17,37.03,25.3,33.34,31.21,22.27,35.45,23.33,23.98,,,,,,
