PINHOE (REDHAYES),,,,,,,,,,,,
Grid ref,SX971935,Long,-3.459416,Lat,50.731972,,,,,,,
Station no,1774/7,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.10,2.20,0.48,1.65,4.50,2.95,2.26,3.01,4.43,3.37,,
February,4.07,0.66,1.40,2.77,2.84,0.33,4.82,3.26,0.35,3.92,,
March,3.19,2.38,0.69,2.79,1.40,0.97,2.90,1.48,4.53,2.16,,
April,1.90,2.57,2.65,0.31,0.88,0.83,0.07,0.52,2.78,2.94,,
May,2.20,2.52,2.36,2.02,3.31,0.69,1.94,2.45,1.15,2.29,,
June,0.95,1.17,1.60,3.88,2.84,0.96,2.56,3.44,0.99,1.00,,
July,1.59,0.80,2.01,2.17,3.58,3.02,2.64,2.29,2.44,3.35,,
August,2.98,3.60,2.31,2.07,0.49,2.75,2.16,3.33,3.10,3.88,,
September,3.35,2.11,2.43,1.95,0.91,6.10,2.51,3.20,0.19,6.21,,
October,1.20,4.13,2.72,1.95,1.53,2.07,1.69,3.77,2.93,11.29,,
November,5.00,3.76,2.51,6.54,3.68,0.95,2.27,3.11,7.65,3.61,,
December,1.90,2.70,0.80,3.25,4.77,4.95,2.54,4.83,6.72,3.35,,
Total,31.43,28.60,21.96,31.35,30.73,26.57,28.36,34.69,37.26,47.37,,
Calc annual,31.43,28.60,21.96,31.35,30.73,26.57,28.36,34.69,37.26,47.37,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
