PINHOE-REDHAYES,,,,,,,,,,
Grid ref,SX971935,Long,-3.4591,Lat,50.73216,Elevation,150,ft,,
Station no,1774/7,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,3.1,2.2,0.48,1.65,4.5,2.95,2.26,3.01,4.43,3.37
February,4.07,0.66,1.4,2.77,2.84,0.33,4.82,3.26,0.35,3.92
March,3.19,2.38,0.69,2.79,1.4,0.97,2.9,1.48,4.53,2.16
April,1.9,2.57,2.65,0.31,0.88,0.83,0.07,0.52,2.78,2.94
May,2.2,2.52,2.36,2.02,3.31,0.69,1.94,2.45,1.15,2.29
June,0.95,1.17,1.6,3.88,2.84,0.96,2.56,3.44,0.99,1
July,1.59,0.8,2.01,2.17,3.58,3.02,2.64,2.29,2.44,3.35
August,2.98,3.6,2.31,2.07,0.49,2.75,2.16,3.33,3.1,3.88
September,3.35,2.11,2.43,1.95,0.91,6.1,2.51,3.2,0.19,6.21
October,1.2,4.13,2.72,1.95,1.53,2.07,1.69,3.77,2.93,11.29
November,5,3.76,2.51,6.54,3.68,0.95,2.27,3.11,7.65,3.61
December,1.9,2.7,0.8,3.25,4.77,4.95,2.54,4.83,6.72,3.35
Total,31.43,28.6,21.96,31.35,30.73,26.57,28.36,34.69,37.26,47.37
,,,,,,,,,,
1951-1958 Monthly values,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Redhayes SRC_ID 8171,,,,,,,,,,
1951-1986,,,,,,,,,,
