BARNSTAPLE ARLINGTON COURT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SS609404,Long,-3.98999,Lat,51.145914,Elevation,613,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,1848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,4.9,7.88,6.61,6.44,8.6,4.2,6.5,4.23,3.52,1.27,2.05,4.48,4.58,6.08,3.82,7.66,4.3,2.68,2.68,6.73,4.45,3.28,3.37,4.49,4.44,2.26,2.62,2.55,9.81,7.93,3.61,3.54,7.49,5.49,2.72,10.58,3.6,4.45,3.62,7.15,3.15,5.19,8.32,3.41,6.3,4.35,2.13,6.19,6.68,8.37,8.12,4.93,4.67,6.69,4.09,7.77,7.6,11.85,2.61,8.46,5.17,6.89,4.14,5.46,1.43,4.85,7.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,4.86,5.48,1.7,3.46,2.68,6.52,5.26,3.31,5.49,4.8,5.41,3.66,6.72,4.51,4.57,1.18,0.94,2.19,5.51,1.31,0.16,3.48,6.67,5.17,0.28,1.98,8.1,3.86,3.68,7.48,2.17,1.87,2.95,6.49,3.04,5.53,3.54,3.98,0.91,7.02,5.86,3.02,1.61,4.23,7.63,8.55,1.98,5.12,3.92,2.64,0.2,6.43,10.16,0.89,8.53,4.28,4.39,5.94,1.73,1.64,5.85,0.1,4.08,0.57,5.74,2.5,8.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,2.57,4.99,4.63,3.83,2.12,6.62,4.03,3.22,1.22,2.36,3.66,3.38,1.03,4.12,2.53,4.36,2.2,5.36,4.76,2.7,2.67,1.15,0.92,5.24,4.6,7.81,5.56,1.64,1.55,1.14,3.15,5.22,7.58,2.3,7.08,4.69,2.29,4.87,5.26,1.25,2.87,7.93,6.61,9.03,1.84,4.1,2.78,2.57,6.82,5.17,4.87,4.76,2.43,2.45,1.56,1.17,5.44,4.65,1.1,2.9,1.79,3.17,4.33,3.52,1.43,2.92,3.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,5.77,3.18,1.53,2.8,3.56,3.8,4.35,3.4,1.97,2.86,2.34,5.55,1.52,2.42,3.02,2.57,1.74,1.74,2.78,3.69,2.73,3.23,0.2,2.12,2.74,1.88,5.6,3.17,5.04,2.95,5.11,1.95,3.21,3.33,3.44,2.45,4.89,3.03,3.67,3.09,4.3,0.34,5.94,3.13,2.57,2.75,3.26,3.02,2.84,6.49,2.02,4.39,3.6,4.26,3.95,2.16,2.77,1.86,1.1,3.35,3.77,3.69,2.75,3.75,6.92,3.61,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,1.01,3.38,3.83,0.77,3.5,0.8,3.73,5.34,3.03,1.63,3.72,2.64,2.7,1.94,4.46,4.23,2.54,1.59,3.68,2.75,4.03,2.16,2.1,3.52,0.5,0.12,2.36,4.67,3.95,2.53,1.17,3.53,3.63,4.24,0.33,6.34,3.68,2.45,2.6,3.77,1.85,2.01,3.36,2.99,2.38,3.42,2.11,2.12,1.45,3.73,2.23,2.12,3.37,4.88,7.03,2.34,2.06,0.85,4.68,3.19,3.98,3.98,2.57,2.63,2.39,0.82,1.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,1.86,6.16,3.24,0.89,5.45,2.62,2.56,4.35,7.48,2.03,4.47,4.74,3.61,1.83,5.18,1.05,0.24,2.88,0.49,4.49,1.45,2.04,1.43,3.18,2.13,3.01,3.29,3.58,2.07,5.01,4.8,5.39,3.54,1.72,3.69,2.29,6.37,1.61,2.21,3.84,4.65,9.67,3.42,2.63,1.38,4.02,4.83,1.93,2.16,4.17,0.37,2.37,1.69,3.64,0,3,3.96,4.57,3.35,1.26,4.76,1.58,1.95,2.88,5.02,3.06,1.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,10.11,7.93,7.37,3.09,4.03,2.9,6.49,2.06,5.49,8.55,3.24,8.69,4.83,4.05,2.53,4.68,2.43,6.39,4.73,4.91,4.52,3.02,7.41,5.65,5.34,2.8,2.38,1.87,1.43,2.58,1.67,2.54,4.05,4.73,3.35,2.75,3.63,4.66,4.26,4.87,0.7,4.1,0.92,4.94,5.57,2.85,2.48,5.94,2.05,9.32,2.34,4.9,5.44,6.09,4.81,2.92,4.92,3.44,3.5,4.57,7.44,6.21,4.02,0.96,1.71,9.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,3.4,3.01,6.96,7.37,4.8,4.65,7.41,8.51,7.94,2.12,7.21,8.18,3.48,4.77,2.16,2.41,2.02,5.13,4.82,4.43,9.62,5.04,5.07,4.68,5.96,2.14,7.16,4.06,3.43,3.98,4.06,3.14,6.03,4.23,5.9,4.65,7.2,6.33,3.18,7.82,3.43,12.49,1.65,6.11,3.57,5.2,8.9,5.91,3.83,2.78,4.34,5.22,4.59,10.28,6.77,4.55,7.55,4.62,6.02,6.99,5.54,1.78,2.19,5.34,3.91,2.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,5.04,6.83,6.14,4.49,6.87,7.68,1.23,5.39,4.94,5.04,2.67,5.07,7.55,3.29,9.74,4.22,6.89,2.98,2.36,2.54,5.47,5.61,5.36,3.1,1.62,8.56,8.61,3.5,5.16,2.83,4.03,2.78,4.82,3.84,3.01,1.85,1.31,3.11,5.5,0.3,4.38,1.47,1.98,3.86,3.28,3.28,4.01,13.4,3.66,4.87,3.76,4.94,4.96,9.7,6.42,4.95,9.33,1.99,1.26,6.5,2.71,7.78,1.94,5.7,8.81,5.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,7.4,8.8,6.55,7.34,8.38,4,5.12,7.09,3.35,7.45,3.19,9.39,6.48,3.97,7.39,8.37,4.51,2.72,7.67,5.52,6.79,6.17,8.42,7.39,8.88,6.45,1.96,8.38,5.82,8.63,5.11,5.54,14.06,4.98,4.78,8.44,8.27,1.66,10.1,8.13,4.68,6.86,4.33,3.63,4.55,8.02,11.5,4.12,2.96,4.62,2.6,2.5,8.77,7.29,7.36,4.7,4.41,10.08,8.44,8.76,1.76,13.1,6.37,5.88,7.76,4.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
