BISHOPSTEIGNTON-TEIGNMOUTH,,,,,,,,,,,,,,,,,,,,
Grid ref,SX910735,Long,-3.53935,Lat,50.55126,Elevation,100,ft,,,,,,,,,,,,
Station no,RR4879,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,2.42,5.9,6.68,5.78,4.78,4.74,2.07,,,,,,,,,
February,,,,,0.99,4.54,2.94,2.53,1.16,3.52,2.56,,,,,,,,,
March,,,,,3.63,1.93,4.75,6.83,2.59,1.92,2.96,,,,,,,,,
April,,,,,1.41,0.66,2.75,2.5,2.61,0.64,0.35,,,,,,,,,
May,,,,,1.49,3.89,3.03,5.55,1.58,6.08,1.34,,,,,,,,,
June,,,,,1.25,2.61,0.96,0.61,0.54,0.5,0.08,,,,,,,,,
July,,,,,0.42,3.23,1.03,4.53,0.41,0.25,0.74,,,,,,,,,
August,,,,,0.99,4.3,1.55,1.07,4.11,0.2,0.58,,,,,,,,,
September,,,,,1.93,0,8.21,2.8,4.72,4.09,1.3,,,,,,,,,
October,,,,,1.5,7.84,2.69,2.73,2.52,3.14,4.2,,,,,,,,,
November,,,,,2.9,5.64,1.33,0.38,3.48,1.64,3.03,,,,,,,,,
December,,,,,3.23,4.57,2.25,3.25,7.93,4.26,2.92,,,,,,,,,
Total,,,,,22.16,45.11,38.17,38.56,36.43,30.98,22.13,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Observer was a Rev so assumed to be Bishopsteignton Vicarage,,,,,,,,,,,,,,,,,,,,
Gauge 6ft above ground on a post,,,,,,,,,,,,,,,,,,,,
