"LOUGHTON (THE SUMMIT)",,,,,,,,,,,,
Grid ref,TQ429977,Long,0.064582,Lat,51.659923,,,,,,,
Station no,1263/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.41,1.82,0.78,1.16,2.00,2.84,1.49,2.48,2.12,1.45,,
February,5.64,0.86,1.74,2.46,1.82,1.22,2.75,3.25,0.11,2.41,,
March,3.44,3.73,0.54,2.56,1.30,1.00,1.32,1.20,1.91,1.22,,
April,3.01,1.13,3.11,0.87,0.07,1.08,0.33,1.66,2.46,1.63,,
May,2.74,1.60,1.07,2.01,4.35,0.69,1.45,2.66,1.00,1.91,,
June,0.69,1.43,1.54,2.67,2.34,3.60,0.90,3.89,1.15,2.02,,
July,0.98,0.75,3.64,3.14,0.31,4.33,3.38,2.64,1.79,3.53,,
August,5.06,2.03,1.86,2.36,1.08,3.99,2.08,3.63,1.53,2.56,,
September,3.24,3.33,1.82,1.64,2.51,2.25,2.87,3.96,0.05,3.79,,
October,0.62,2.49,3.48,1.52,3.10,1.99,1.92,2.46,1.92,5.97,,
November,4.72,3.55,0.98,4.59,0.81,0.81,2.15,1.60,2.80,3.50,,
December,1.67,2.46,0.68,1.95,1.85,2.41,2.92,2.71,3.34,2.62,,
Total,34.22,25.18,21.24,26.93,21.54,26.21,23.56,32.14,20.18,32.61,,
Calc annual,34.22,25.18,21.24,26.93,21.54,26.21,23.56,32.14,20.18,32.61,,
Difference,-0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
