"GARBAT FOREST (LONGART)",,,,,,,,,,,,
Grid ref,NH482666,Long,-4.546257,Lat,57.663612,,,,,,,
Station no,5775/2,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.34,5.19,4.87,5.35,3.71,6.15,6.29,4.47,,,,
February,4.20,3.28,4.26,4.67,3.71,3.73,3.78,4.63,,,,
March,3.97,2.63,2.77,4.25,1.62,2.36,4.05,2.35,,,,
April,5.78,1.62,2.47,2.17,1.94,3.29,1.63,3.38,,,,
May,0.34,2.71,3.61,5.09,3.15,3.92,1.32,,,,,
June,1.54,2.08,2.16,3.62,1.71,2.76,2.39,,,,,
July,3.10,1.94,5.16,3.78,0.75,4.39,5.54,,,,,
August,4.28,3.55,3.59,2.55,0.55,7.14,5.43,,,,,
September,1.64,3.21,4.74,4.30,4.68,4.49,2.96,,,,,
October,2.17,5.43,1.65,8.30,6.61,5.83,5.14,,,,,
November,6.44,4.46,7.12,5.48,1.74,5.02,3.03,,,,,
December,8.24,5.21,4.63,12.77,11.55,6.68,10.17,,,,,
Total,46.04,41.31,47.03,62.33,41.72,55.76,51.73,,,,,
Calc annual,46.04,41.31,47.03,62.33,41.72,55.76,51.73,14.83,0.00,0.00,,
Difference,0.00,-0.00,0.00,0.00,0.00,0.00,-0.00,NaN,NaN,NaN,,
