STRADBROKE-VICARAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TM230738,Long,1.270421,Lat,52.31698,Elevation,172,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,1.52,1.46,1.65,1.79,2.2,,0.64,0.63,,,,,2.1,3,1.2,2.06,1.01,2.14,3.21,0.2,0.8,1.76,1.78,1.15,3.71,1.74,0.85,0.53,1.47,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,1.83,2.23,1,2.37,0.06,,1.29,1.49,,,,,1.36,0.69,0.54,2.6,0.96,1.16,2.79,0.88,0.79,0.29,2.54,1.21,2.3,1.33,2.14,0.62,2.42,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,1.34,1.12,1.08,1.15,1.78,,1.68,1.32,,,,,0.92,1.74,3.08,2.41,1.7,1.07,1.06,2.02,0.93,1.68,2.24,1.87,1.78,1.46,2.1,3.52,0.77,2.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,3.17,0.71,1.65,1.37,1.31,,1.35,2.07,,,,,2.57,0.79,1.03,1.85,1.19,3.32,1.44,2.04,1.48,1.82,0.72,2.48,0.83,3.78,3.18,1.39,1.83,1.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,1.8,1.72,0.54,3.25,1.82,,-999,3.05,,,,,2.28,0.37,0.69,0.66,3.13,2.38,1.36,1.18,2.8,2.6,2.04,0.93,1.44,2.64,1.36,1.37,3.25,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,2.4,3.25,1.2,0.84,0.62,,-999,2.38,,,,,2.76,0.48,2.32,2.47,2.41,1.14,3.88,2.09,2.77,2.81,0.77,4.1,2.27,2.56,0.55,3.8,1.58,2.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,4.42,2.56,2.15,1.53,3.19,,5.89,2.44,,,,,4.19,3.69,0.73,0.56,1.45,2.06,1.88,0.5,1.59,4.51,2.65,0.75,0.41,2.06,2.69,2.54,3.51,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,2.12,0.68,0.91,1.33,1.71,,2.42,2.27,,,,,1.97,3.19,1.64,3.62,1.53,0.98,2.84,0.92,3.51,4.47,1.59,2.75,0.73,1.49,2.22,2.72,3.55,0.36,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.21,2.74,3.83,4.91,2.01,,1.1,2.39,,,,,1.53,0.59,4.38,3.17,0.15,3.06,0.69,0.59,1.32,2.45,1.48,3.04,1.9,0.82,1.56,2.14,1.48,1.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,6.31,2.89,2.75,5.32,1.24,,1.12,4.16,,,,,2.21,3.66,3.36,0.61,2.13,1.35,2.34,2.32,1.52,4.85,0.99,2.69,4.06,2.53,2.91,4.01,1.38,2.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
