SHILLINGTON,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL127341,Long,-0.359979,Lat,51.993922,Elevation,182,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR2185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,0.67,2.23,3.04,0.75,0.47,2.25,2.12,0.69,2.94,1.26,1.43,0.88,1.42,1.03,3.53,2.55,0.93,2.67,1.13,1.43,2.54,4.09,2.2,1.85,2.79,1.28,2.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.05,1.54,3.85,0.96,1.12,0.93,2.5,0.9,1.64,0.97,1.2,0.43,2.48,1.4,1.47,0.81,1.75,2.85,3.92,0.64,0.84,2.55,0.4,0.29,1.59,3.02,0.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.65,0.63,0.81,2.56,1.06,2.84,1.34,2.38,1.78,0.93,2.92,3.21,1,1.92,2.73,2.28,3.73,1.51,5.17,1.4,0.47,3,1.38,0.81,1.61,2.32,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.39,2.44,1.03,2.27,0.6,1.36,1.03,1.59,0.87,2.57,3.14,1.28,2.37,0.83,0.04,2.76,0.53,0.98,1.23,1.57,3.53,3.09,3.64,1.1,3.07,1.85,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,3.12,1.85,1.06,1,2.26,2.68,1.45,1.79,1.19,3.03,1.56,1.27,2.8,1.3,1.73,1.65,1.17,2.1,1.63,2.02,2.82,0.49,1.6,1.11,1.22,1.28,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,2.34,1.1,2.35,1.01,2.63,5.84,0.74,3.58,4.11,1.89,1.03,4.2,1.37,2.25,3.4,0.83,1.93,0.38,2.89,4.91,0.58,1.45,1.53,0.32,1.17,0.65,2.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,1.35,1.77,2.02,2.45,1.25,3.94,3.55,1.27,0.64,1.89,2.4,2.74,1.82,0.23,2.96,1.27,2.17,4.33,1.33,5.18,2.95,2.74,3.41,0.25,4.31,3.9,3.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,1.7,1.09,3.3,1.48,2.8,2.89,2.08,2.71,1.05,1.95,2.47,1.98,2.33,2.32,5.88,1.04,1.17,1.92,2.69,5.01,0.85,1.88,1.02,1.14,2.31,2.74,2.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,0.33,2.32,0.32,1.47,1.29,2.06,1.12,1.56,1.14,0.5,1.38,1.96,0.82,1.07,1.93,2.02,0.83,1.43,1.14,2.71,5.2,1.61,2.44,1.3,2.42,2.26,2.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.23,2.93,2.09,2.05,1.55,5.27,1.16,1.29,3.59,3.4,1.98,3.85,2.34,1.89,2.3,2.58,2.42,1.24,3.05,3.87,1.4,0.76,1.12,0.65,0.62,3.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,2.37,2.59,1.74,1.06,1.41,2.11,1.53,2.02,3.91,1.93,0.77,0.88,3.65,2.61,2.03,1.67,2.61,2.07,3.22,1.09,1.88,1.81,1.14,1.82,1,1.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,,,,,,,2.43,1.18,2.19,3.19,1.33,1.53,1.82,0.8,2.21,3.1,1.52,2.95,4.52,4.43,2.43,0.78,6.51,3.78,2.71,0.65,1.89,4.12,1.65,1.74,2.03,2.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,20.63,21.67,23.8,20.25,17.77,33.7,20.44,20.58,25.07,23.42,21.8,25.63,26.92,21.28,30.43,20.24,25.75,25.26,30.11,30.48,24.95,27.59,21.53,12.38,24.14,26.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
