"FORD, LOCH AWE",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NM 86946 03683,Long,-5.43415,Lat,56.178002,Elevation,150,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5407/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,,8.64,6.79,7.49,7.26,6.77,8.28,9.79,4.38,5.33,7.07,9.46,11.75,7.15,10.5,6.17,6.21,9.8,11.43,14.92,2.56,
February,,,,,,,,,,,9.96,9.98,4.85,4.22,10.81,8.34,8.5,1.77,9.03,1.09,8.82,3.6,7.74,6.5,2.8,5.67,7.48,6.3,6.48,3.46,
March,,,,,,,,,,,3.98,2.25,6.43,10.2,6.86,6.77,2.2,3.78,2.58,5.2,7.88,10.32,2.6,3.15,0.49,3.3,6.7,5.6,5.13,1.84,
April,,,,,,,,,,,6.15,5.69,5.14,5.72,5.25,6.19,6.6,2.99,2.58,6.91,3.87,3.1,4.7,4.12,4.58,6.9,3.01,7.06,3.86,1.57,
May,,,,,,,,,,,4.28,4.97,3.33,6.76,3.26,1.03,6.53,3.95,3.84,1.57,6.78,4.65,8.03,4.25,3.69,7.11,3.48,6.8,1.3,5.65,
June,,,,,,,,,,2.16,2.66,3.08,5.56,4.18,4.2,2.32,2.76,3.42,3.69,6.19,2.33,1.82,5.47,4.63,5.08,2.82,5.21,3.92,4.7,5.86,
July,,,,,,,,,,8.76,4.86,7.95,2.87,1.88,2.3,5.56,4.8,2.73,4.85,2.93,5.29,5.6,5.83,9.55,7.61,4.22,5.61,4.42,5.83,6.29,
August,,,,,,,,,,6.09,8.39,6.19,4.92,3.49,7.2,3.72,4.76,7.64,6.11,6.73,6.65,6.66,5.99,7.82,7.71,4.77,8.01,5.14,5.02,8.97,
September,,,,,,,,,,3.72,4.32,4.84,5.29,3.56,4.93,3.84,3.86,6.78,7.86,7.76,5.75,4.61,6.01,11.84,7.24,6.46,6.45,7.1,5.33,5.7,
October,,,,,,,,,,9.91,3.6,4.26,8.08,5.41,4.25,2.91,9.89,13.66,10.93,3.6,4.92,7.98,3.93,12.77,5.74,7.39,9.25,9.47,9.35,10,
November,,,,,,,,,,6.34,5.85,8.66,10.16,12.03,8.75,4.21,9.41,15.24,10.65,6.97,9.37,4.37,6.01,8.62,6.32,2.12,7.86,6.78,8.04,,
December,,,,,,,,,,8.75,8.22,13.48,13.5,8.35,10.04,7.97,7.56,4.61,9.23,12.63,6.88,13.57,6.61,8.65,9.17,4.51,7.72,0.9,7.79,,
Total,,,,,,,,,,,70.91,78.14,77.62,73.06,74.62,61.14,76.66,70.95,76.68,68.65,78,78.03,70.07,92.4,66.6,61.48,80.58,74.92,77.75,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,5407/01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
