HORSHAM-WHITES-BRIDGE (PONDTAIL DEPOT),,,,,,,,,,
Grid ref,TQ1783933164,Long,-0.31892915,Lat,51.085699,Elevation,150,ft,,
Station no,465/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,3.46,4.72,2.55,3.4,2.92,3.03
February,,,,,1.84,0.36,4.67,2.56,0.1,1.99
March,,,,,1.3,0.95,1.37,2.06,2.58,1.08
April,,,,,0.37,1.64,0.13,1.05,2.85,1.03
May,,,,,3.85,0.35,1.12,2.92,0.84,1.56
June,,,,,2.05,2.53,1.32,4.36,1.15,2.82
July,,,,,0.48,3.83,3.89,1.64,1.53,3.85
August,,,,,0.85,3.1,3.11,3.74,2.07,4.01
September,,,,,2.24,3.81,3.11,4.34,0.08,3.52
October,,,,,3.85,1.53,1.87,3.83,3.41,7.22
November,,,,,1.44,0.95,2.68,2.39,3.46,6.56
December,,,,,3.7,5.39,2.77,3.85,7.45,3.94
Total,,,,,25.43,29.16,28.59,36.14,28.44,40.61
