BISHOPS WALTHAM SWANMORE HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU583178,Long,-1.171319,Lat,50.956688,Elevation,390,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,
January,,,,,,,,,3.08,2.71,2.13,2.3,6.31,3.88,2.08,6.43,1.15,,,,,,,3.34,4.03,2.57,4.13,3.71,1.51,0.99,3.92,2.81,1.05,1.87,4.46,2.87,1.06,2.72,0.76,3.56,4.02,0.8,1.31,2.48,4.79,1.02,8.17,0.9,1.78,1.38,3.88,1.81,4.45,6.08,1.02,5.51,1.93,1.65,4.61,6.64,5.28,5.25,6.53,2.34,4.3,5.07,5.6,2.84,6.06,1.71,5.61,2.9,3.68,2.6,2.94,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,,,,,,1.7,2.53,3.4,1.42,2.3,2.6,2.59,3.01,3.08,,,,,,,4.79,2.95,3.99,0.65,1.04,0.95,2.31,0.5,0,0.99,3.84,1.9,0.13,0.45,3.85,1.71,3.02,5.05,1.96,1.9,1.68,4.56,0.63,3.33,1.63,1.37,0.38,5.15,2.19,3.56,1.37,6.38,7.56,6.07,1.45,2.03,4,0.68,0.22,4.29,7.47,0.67,6.1,2.5,5.21,2.63,1.47,1.27,2.42,0.25,4.74,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,,,,,,1.85,1.75,1.78,1.2,1.83,2.81,0.86,0.97,3.48,,,,,,,0.94,3.1,2.52,2.33,1.53,3.6,2.4,1.02,2.49,0.85,0.35,1.43,2.25,3.63,4.9,0.41,0.27,0.92,2.17,2.48,3.39,1.33,4.92,1.44,1.01,3.42,4.98,1.36,2.96,4.99,3.77,5.7,1.21,4.63,3.58,1.39,6.9,2.47,1.37,3.29,2.43,1.84,0.67,0.7,4.15,3.17,0.2,1.62,0.87,1.9,4.25,3.54,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,,,,,,1.5,1.12,0.34,4.34,0.99,0.87,3.09,1.17,2.24,,,,,,,1.4,1.42,1.5,2.1,1.56,1.9,1.95,2.18,0.93,0.79,0.06,2.92,2.88,0.48,2.01,1.27,2.56,1.9,2.49,1.5,2.81,1.61,1.49,0.68,4.44,2.73,1.63,2.83,2,0.02,3.89,1.73,1.54,0.88,2.8,2.37,2.59,5.36,1.29,4.74,3.98,4.22,3.52,3.6,2.27,1.97,0.8,2.95,3.43,3.49,1.74,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,,,,,,1.59,4.36,1.55,0.33,2.44,1.59,1.06,1.77,0.36,,,,,,,2.26,1.08,3.84,3.96,1.32,2.29,2.67,2.54,2.27,0.72,0.73,2.01,0.29,0.49,1.62,2.76,1.22,1.48,0.7,3.02,3.55,4.33,0.61,2.83,2.35,2.46,1.98,2.13,3.19,1.2,3.64,2.13,3.89,1.62,1.57,2.02,0.66,1.81,2.06,1.62,2.68,4.47,5.11,1.75,1.11,1.72,2.37,2.36,4.11,5.32,2.08,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,,,,,,0.77,2.21,0.72,4.55,3.21,1.78,1.78,3.5,1.77,,,,,,,1.33,1.75,1.41,0.66,1.22,3.31,0.74,4.15,1.65,1.74,1.03,2.05,1.24,1.59,2.09,2.06,1.86,3.56,2.42,3.75,2.64,1.89,3.4,2.08,2.15,0.77,4.26,3.41,2.25,5.07,0.5,0.58,1.49,2.32,3.65,1.16,0.94,2.76,0.03,1.99,0.51,2.68,0.04,2.7,3.17,2.62,1.92,0.6,2.46,2.27,2.89,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,,,,,,0.63,1.07,0.5,5.93,3.29,2.47,1.16,4.87,0.76,,,,,,,3.31,3.21,0.26,3.14,0.99,5.48,3.33,3.37,2.01,2.6,3.54,5.56,4.14,0.58,1.26,0.41,0.56,1.78,3.11,1.62,3.52,1.24,0.39,0.63,2.03,2.16,3.31,3.08,0.23,2.77,2.31,4.01,5.12,1.16,3.85,5.68,1.34,6.43,0.33,5.17,1.07,5.06,3.82,2.61,3.86,1.83,1.63,2.68,3.7,4.49,2.59,1.65,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,,,,,,,4.26,1.06,2.76,1.96,1.64,2.24,2.48,1.92,3.23,,,,,,,1.72,1.37,0.72,1.02,2.16,2.72,2.89,4.33,6.69,3.31,1.21,1.46,2.87,2.07,4.43,1.62,1.77,2.74,2.18,4.08,3.79,2.75,3.37,1.28,1.94,5.06,2.36,3.09,0.62,7.54,2.31,2.26,1.95,2.69,6.96,1.98,3.91,1.65,2.92,3.75,3.17,4.17,4.38,1.32,4.97,2.86,2.18,5.14,5.26,1.38,1.23,3.59,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,,,,,,,3.32,5.48,2.16,6.36,1.86,3.29,3.14,1.55,3.92,,,,,,,4.62,2.69,5.13,1.91,3.14,1.42,1.1,0.87,1.69,3.53,1.52,2.21,0.42,9.36,2.79,1.48,2.39,0.95,2.04,0.89,2.41,2.72,2.5,1.39,0.48,2.97,3.74,0.15,1.11,3.38,3.12,1.88,4.72,2.58,2.6,7.52,1.57,2.6,0.99,2.35,2.13,7.32,3.7,1.06,6.93,1.06,0.29,3.76,2.3,3.91,3.37,3.01,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,,,,,,,2.97,2.82,3.95,1.74,5.49,3.76,5.53,5.17,1.97,,,,,,,3.11,0.91,4.19,5.22,1.29,1.9,6.26,1.44,8.28,4.64,2.93,4.06,2.72,2.81,0.65,4.86,2.38,2.01,3.08,2.47,10.35,2.97,1.86,6.06,8.2,2.35,8.9,5.03,5.06,4.62,4.33,2.54,4.12,7.54,7.21,1.9,0.8,4.01,0.93,1.47,7.8,5.52,4.98,2.73,2.81,7.75,4.24,1.86,0.75,7.12,2.42,2.26,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,,,,,,,1.42,1.51,2.24,0.66,4.42,2.34,3.56,4.9,4.74,,,,,,,4.4,1.01,3.28,3.64,4.62,5.13,1.45,1.98,4.52,3.33,2.43,5.68,5.72,1,1.32,3.69,5.49,3.74,0.47,3.74,2.57,1.19,4.9,4.59,2.55,1.46,0.81,4.68,4.39,2.64,4.64,4.8,3.97,5.45,1.35,3.28,2.95,2.54,3.49,3.03,2.44,3.24,4,6.98,3.87,3.57,9.47,6.17,4.91,2.07,1.01,-999,,,,,,,,,,,,,,,,,,,,,,,,,,
