BINSTEAD (THE QUARRY),,,,,,,,,,,,
Grid ref,SZ576919,Long,-1.185349,Lat,50.723877,,,,,,,
Station no,603/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,4.16,,,,,,,,,,,
February,6.90,,,,,,,,,,,
March,5.09,,,,,,,,,,,
April,2.71,,,,,,,,,,,
May,2.65,,,,,,,,,,,
June,2.01,,,,,,,,,,,
July,1.38,,,,,,,,,,,
August,5.30,,,,,,,,,,,
September,3.49,,,,,,,,,,,
October,1.50,,,,,,,,,,,
November,8.41,,,,,,,,,,,
December,3.69,,,,,,,,,,,
Total,47.29,,,,,,,,,,,
Calc annual,47.29,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
Difference,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
