"WICK, PULTENEY HOUSE",,,,,,,,,,,,,,,,,,,,
Grid ref,ND 371 502,Long,-3.07739,Lat,58.4359,Elevation,70,ft,,,,,,,,,,,,
Station no,RR2321,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879
January,,,,,,,2,3.94,2.79,2.69,2.02,1.23,2.46,1.24,2.11,2.77,2.15,2.8,2.55,
February,,,,,,,3.37,2.36,3.38,2.77,1.29,2.21,1.13,1.14,0.58,1.55,4.98,3.98,1.65,
March,,,,,,,1.71,2.16,2.59,2.55,1.49,0.89,1.34,1.07,1.92,1.06,5.43,2.32,4.43,
April,,,,,,,1.13,2.63,2.04,1.63,1.41,1.67,1.62,1.52,1.26,2.07,3.15,2.69,0.44,
May,,,,,,,0.97,1.14,1,1.99,1.24,0.76,1.21,1.42,1.06,2.11,0.96,4.58,1.61,
June,,,,,,,3,3.19,1.16,1.93,0.76,0.89,4.85,1.19,1,1.95,1.47,3.97,1.36,
July,,,,,,,2.38,1.69,0.77,1.25,1.21,3.34,2.21,2.33,1.73,2.7,2.89,3.86,2.49,
August,,,,,,,3.61,1.59,4.75,2.17,0.55,1.08,2.38,2.94,3.03,2.59,2.36,3.47,1.8,
September,,,,,,,3.16,3.73,1.56,5.33,2.14,2.08,3.16,2.66,2.91,3,3.56,1.46,4.22,
October,,,,,,,1.91,4.71,2.01,2.52,1.61,1.73,2.93,4.24,2.91,3.15,4.21,3.99,2.48,
November,,,,,,,5.65,1.86,1.81,4.38,2.27,2.11,2.88,2.53,2,4.04,4.49,4.45,3.71,
December,,,,,,,3.7,1.99,3.51,2.35,2.89,1.18,2.43,1.76,2.69,2.29,6.08,4.16,5.49,
Total,,,,,,,32.59,30.99,27.37,31.56,18.88,19.17,28.6,24.04,23.2,29.28,41.73,41.73,32.23,
,,,,,,,,,,,,,,,,,,,,
1873 April fig corrected,,,,,,,,,,,,,,,,,,,,
