HUNMANBY - HOLLY BANK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TA096775,Long,-0.322,Lat,54.182,Elevation,225,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928
January,1.90,1.94,-999.00,0.78,2.68,0.77,2.62,4.11,-999.00,1.00,1.53,2.35,0.94,3.44,1.06,1.28,1.20,2.85,1.25,3.30,5.10,1.69,3.50,0.91,2.28,2.05,3.36,2.95,2.58,4.11,1.60,2.07,0.85,2.26,1.65,3.61
February,3.13,2.51,-999.00,0.85,2.40,-999.00,1.57,4.42,-999.00,1.85,0.93,3.12,1.20,1.65,1.55,2.65,0.76,2.55,0.87,1.42,0.79,1.30,3.02,3.54,0.80,1.73,1.31,0.84,0.20,2.21,4.52,1.50,2.48,1.77,1.28,1.80
March,0.00,0.90,1.77,2.98,3.25,-999.00,2.70,1.25,2.78,1.30,2.37,1.25,1.70,1.35,1.37,2.81,5.84,0.78,1.53,3.25,2.95,2.06,1.52,2.59,2.20,1.36,3.48,2.17,0.75,1.80,0.90,1.75,1.23,0.67,1.41,
April,0.77,1.14,1.43,0.87,1.47,2.96,1.63,0.91,2.19,0.80,4.60,0.69,2.00,0.93,1.91,2.37,2.65,1.85,0.91,0.09,2.35,0.46,0.81,1.10,3.06,1.38,2.28,3.84,1.09,1.31,1.34,1.56,2.23,1.12,2.89,1.42
May,1.45,1.96,0.76,0.90,1.20,3.53,3.05,1.20,0.72,4.85,1.92,2.33,0.90,1.85,4.00,1.25,1.28,1.70,0.80,2.58,2.02,1.50,1.30,2.63,1.22,2.01,0.82,1.72,1.64,1.34,3.13,2.73,1.64,1.43,0.80,
June,1.13,4.26,1.65,1.71,2.22,2.80,1.31,1.80,-999.00,1.08,2.47,0.60,0.65,0.57,0.65,1.28,3.00,1.20,3.25,4.77,1.02,1.30,0.40,1.74,1.22,0.95,1.10,1.33,0.40,1.89,0.80,1.95,0.11,2.94,2.70,3.92
July,2.56,2.25,-999.00,1.05,0.48,1.37,1.87,1.40,-999.00,2.18,1.75,1.20,1.04,0.72,0.45,1.12,2.68,2.97,1.25,3.85,1.04,3.66,5.11,2.00,1.00,3.75,2.09,5.42,1.04,4.48,3.18,4.39,1.57,2.20,2.21,0.51
August,1.04,2.53,-999.00,2.05,-999.00,3.52,0.43,4.58,3.30,1.80,2.67,2.22,2.89,2.21,1.78,3.39,2.90,3.59,3.00,4.32,0.85,2.73,1.44,2.56,4.31,1.70,2.81,1.69,3.12,3.21,2.10,2.17,2.89,2.64,4.63,2.61
September,1.64,0.47,-999.00,2.79,-999.00,0.11,2.76,0.97,0.80,0.83,1.22,0.82,1.12,1.36,0.47,0.11,1.35,0.42,2.55,2.13,0.65,1.70,1.76,1.03,0.59,5.24,1.20,1.72,0.60,2.60,1.23,2.30,3.04,0.85,3.04,0.98
October,2.16,2.95,4.35,5.70,1.83,3.58,2.65,3.60,1.74,2.00,6.91,0.60,3.26,4.26,4.43,1.07,2.40,2.20,2.30,2.72,2.60,1.90,1.87,2.99,3.30,1.28,4.56,1.72,1.76,1.53,1.12,3.13,1.24,2.99,1.44,3.44
November,4.50,6.59,-999.00,1.71,2.60,2.90,1.40,2.70,4.03,1.53,3.26,3.60,5.05,1.53,2.19,1.40,0.95,3.08,3.25,2.40,2.30,3.16,1.65,2.50,1.68,1.71,3.05,0.62,2.97,1.45,3.17,1.82,4.51,3.30,3.24,2.79
December,2.49,2.81,-999.00,3.80,2.12,2.25,3.55,3.17,4.35,2.70,1.43,2.38,0.40,2.57,3.91,3.52,5.08,3.00,4.43,1.40,1.35,4.62,5.13,4.00,1.24,4.81,3.34,2.77,1.42,1.52,2.16,1.96,4.61,0.86,2.37,1.30
