"HUNMANBY HOLLY BANK",,,,,,,,,,,,
Grid ref,TA096776,Long,-0.322101,Lat,54.182479,,,,,,,
Station no,RR3027,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.11,2.00,1.00,1.53,2.35,0.94,3.44,1.06,1.28,1.20,,
February,4.42,3.84,1.85,0.93,3.12,1.20,1.65,1.55,2.65,0.76,,
March,1.25,2.78,1.30,2.37,1.25,1.70,1.35,1.37,2.81,5.84,,
April,0.91,2.19,0.80,4.60,0.69,2.00,0.93,1.91,2.37,2.65,,
May,1.20,0.72,4.85,1.92,2.33,0.90,1.85,4.00,1.25,1.28,,
June,1.80,1.51,1.08,2.47,0.60,0.65,0.57,0.65,1.28,3.00,,
July,1.40,1.10,2.18,1.75,1.20,1.04,0.72,0.45,1.12,2.68,,
August,4.58,3.30,1.80,2.67,2.22,2.89,2.21,1.78,3.39,2.90,,
September,0.97,0.80,0.83,1.22,0.82,1.12,1.36,0.47,0.11,1.35,,
October,3.60,1.74,2.00,6.91,0.60,3.26,4.26,4.43,1.07,2.40,,
November,2.70,4.03,1.53,3.26,3.60,5.05,1.53,2.19,1.40,0.95,,
December,3.17,4.35,2.70,1.43,2.38,0.40,2.57,3.91,3.52,5.08,,
Total,30.11,28.36,21.92,31.06,21.16,21.15,22.44,23.77,22.25,30.09,,
Calc annual,30.11,28.36,21.92,31.06,21.16,21.15,22.44,23.77,22.25,30.09,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,-0.00,0.00,0.00,,
