LARGS (NODDSDALE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NS214617,Long,-4.8520082,Lat,55.815433,Elevation,209,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,5217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,,,,,,,,4.97,6.38,7.43,5.08,5.94,3.67,5.93,8.4,8.24,6.4,2.79,2.05,8.65,5.94,5.51,3.96,7.17,,,,
February,,,,,,,,,,,0.44,4.87,0.04,5.9,0.82,5.95,3.25,7.76,3.23,7.53,2.49,6.16,1.85,4.8,2.17,6.75,4.24,,,,
March,,,,,,,,,,,3.3,1.37,3.42,4.8,3.96,2.13,5.02,3.08,5.02,4.1,4.34,3.96,6.16,2.57,1.36,3.82,2.7,,,,
April,,,,,,,,,,,1.81,2.77,4.61,3.07,5.5,3.61,1.8,2.54,0.48,3.73,3.48,2.35,2.85,4.92,3.46,2.47,2.73,,,,
May,,,,,,,,,,,2.33,4.76,2.72,3.33,4.18,0.68,2.77,1.67,4.44,1.63,1.1,2.97,3.44,3.84,3.57,4.58,1.05,,,,
June,,,,,,,,,,,3.56,5.97,2.03,2.96,3.67,3.53,2.16,4.49,7.09,2.53,1.41,2.08,2.57,4.82,4.03,4.27,3.96,,,,
July,,,,,,,,,,,2.83,5.16,4.01,5.14,3.82,3.51,7.4,5.51,5.16,6.19,3.98,3.94,4.48,2.47,3.51,3.62,4.5,,,,
August,,,,,,,,,,,7.24,2.04,3.56,4.85,5.02,2.16,3.8,3.72,3.53,2.29,2.17,5.14,7.04,8.01,3.89,2.6,3.36,,,,
September,,,,,,,,,,,5.34,1.95,4.99,0.95,6.14,6.69,3.86,4.05,5.91,3.85,5.4,2.39,7.2,4.57,6.02,6.12,8.03,,,,
October,,,,,,,,,,,9.17,5.28,7.69,3.09,8.97,11.42,5.44,2.84,11.36,4.9,5.55,4.97,7.25,9.19,7.17,7.08,0.39,,,,
November,,,,,,,,,,,7.06,8.38,4.45,4.84,2.54,6.94,4.83,1.36,10.75,8.78,7.54,5.54,0.99,3.99,7.51,0.46,8.8,,,,
December,,,,,,,,,,,5.84,4.94,7.85,2.25,10.14,4.52,7.72,4.46,5.87,3.55,7.01,3.02,8.38,2.13,7.6,5.48,6.02,,,,
Total,,,,,,,,,,,53.89,53.87,52.8,46.26,60.7,54.81,53.98,49.88,71.08,55.48,47.26,44.57,60.86,57.25,55.8,51.21,52.95,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1932 Jan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
