HATFIELD-COUNTY-SURVEYORS-OFFICE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TL231090,Long,-0.21752773,Lat,51.766155,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
January,,,,2.79,0.63,3.55,1.56,1.43,2.42,3.56,2.14,2.47,3.04,1.03,2.86,1.99,2.75,1.36,2.8,1.61,2.48,1.19,1.5,1.34,1.9,,,3.79,2.29,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
February,,,,0.67,2.19,3.47,3.66,0.73,0.82,3.09,0.32,0.21,1.37,4.05,1.03,2.81,2.78,3.28,1.55,0.66,0.83,1.47,0.12,1.76,0.23,,,3.39,0.41,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
March,,,,1.99,3.58,1.33,4.75,1.5,0.7,3.4,1.36,0.86,1.88,1.81,0.9,0.8,0.23,1.95,1.48,0.02,1.76,0.22,2.09,2.33,3.14,,,2.7,0.25,1.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April,,,,2.71,0.72,0.86,1.06,1.8,4.18,3.46,3.44,1.48,2.36,1.33,3.12,1.64,3.54,1.62,1.34,1.29,2.97,3.33,2.15,0.83,1.56,,,2.74,0.11,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May,,,,1.65,1.39,2.27,2.01,1.93,2.32,0.41,0.72,1.14,1.16,1.28,4.03,1.9,1.56,1.01,1.35,2.03,3.84,2.78,3.75,2.34,0.59,,,2.41,1.38,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
June,,,,0.67,1.78,1.07,2.28,1.76,0.89,1.4,1.49,0.52,1.31,0.87,3.01,0.14,3.22,2.53,1.56,0.72,0.96,1.23,0.97,2.4,1.38,,3.93,1.46,0.19,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
July,,,,1.88,1.91,4.88,1.84,3.78,3.09,1.81,4.18,0.13,3.45,3.33,4.07,4.19,2.91,2.41,2.05,1.79,2.82,3.27,1.7,1.85,1.44,,3.37,1.52,1.22,1.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
August,,,5.09,0.97,1.43,2.68,3.26,4.13,0.82,2.38,1.25,0.74,2.62,2.96,2.05,2.68,1.01,3.47,2.13,0.61,3.24,4.98,1.65,0.4,2.42,,0.26,2.18,1.66,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
September,,,2.65,1.04,0.99,2.14,1.12,3.33,4.68,1.19,2.39,1.86,1.94,2.06,3.23,2.98,1.83,5.06,0.96,0.23,3.04,2.19,1.47,2.32,1.97,,3.5,1.65,1.72,1.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
October,,,2.22,2.92,1.48,2.06,3.07,3.71,1.26,0.58,1.76,1.37,1.42,5.35,3.35,2.52,2.18,2.26,3.52,3.26,1,0.62,4,1.29,1.07,,1.42,2.46,1.94,6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
November,,,2.19,2.31,2.32,2.12,3.89,1.04,2.03,1.97,0.67,2.04,0.96,1.31,2.56,1.78,4.49,2.46,2.15,5.84,3.7,2.53,1.31,1.32,2.63,,2.86,1.34,2.43,3.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
December,,,2.46,0.67,6.73,4.84,3.06,0.94,2.2,3.64,1.43,1.47,4.42,2.66,2.79,1.83,0.23,3.47,2.29,3.93,2.32,0.72,0.34,0.48,4.71,,1.23,2.8,3.33,1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
