WALDRON-BRYCKDEN (8 INCH GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ541200,Long,0.19283948,Lat,50.958827,Elevation,320,ft,,,,,,,,,,,,
Station no,RR6758,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,,,,,1.17,1.16,3.1,2.47,1.06,,,,,,,
February,,,,,,,,,1.97,2.57,1.38,0.1,1.59,,,,,,,
March,,,,,,,,,4.14,1.88,2.22,2.13,1.41,,,,,,,
April,,,,,,,,,1.45,2.56,3.19,0.48,1.53,,,,,,,
May,,,,,,,,,1.6,1.56,1.79,3.32,0.79,,,,,,,
June,,,,,,,,,4.21,0.38,4.86,2.15,2.43,,,,,,,
July,,,,,,,,,5.66,3.74,3.83,3.14,2.7,,,,,,,
August,,,,,,,,,2.15,2.91,3.06,6.35,3.42,,,,,,,
September,,,,,,,,,1.33,1.23,1.22,0.91,2.43,,,,,,,
October,,,,,,,,,2.61,8.27,1.62,6.91,6.54,,,,,,,
November,,,,,,,,,5.35,1.55,3.55,3.61,2.8,,,,,,,
December,,,,,,,,,2.29,2.05,0.71,3.99,2.47,,,,,,,
Total,,,,,,,,,33.93,29.86,30.53,35.56,29.17,,,,,,,
