WALDRON-BRYCKDEN (5 INCH GAUGE),,,,,,,,,,,,,,,,,,,,
Grid ref,TQ541200,Long,0.19283948,Lat,50.958827,Elevation,320,ft,,,,,,,,,,,,
Station no,RR6758,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,,,2.98,2.61,4.7,2.99,1.15,,3.17,2.58,1.07,,,,,,,
February,,,,,1.52,4.25,0.5,0.94,2.01,2.61,1.37,0.07,1.55,,,,,,,
March,,,,,1.96,2.37,2.03,1.71,4.22,1.9,2.2,2.35,1.44,,,,,,,
April,,,,,1.8,1.48,1.8,1.67,,,3.18,,1.56,,,,,,,
May,,,,,0.33,3.11,4.07,1.77,,,,,,,,,,,,
June,,,,,2.39,0.96,1.03,1.08,4.18,,,,2.44,,,,,,,
July,,,,,1.32,0.52,2.97,0.5,,,3.82,3.16,,,,,,,,
August,,,,,1.26,0.52,2.11,3.03,,,,6.41,,,,,,,,
September,,,,,3.75,4.89,0.92,3.62,1.31,1.21,1.19,0.9,2.44,,,,,,,
October,,,,,1.24,4.99,3.77,1.78,2.57,8.31,1.61,6.96,6.49,,,,,,,
November,,,,,1.26,3.6,4.41,5.05,5.37,1.6,3.56,3.64,2.81,,,,,,,
December,,,,,5.09,1.28,5.26,2.61,2.3,2.13,0.72,4.11,2.5,,,,,,,
Total,,,,,24.9,30.58,33.57,26.75,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
1884-1887 values thought to be mean of two gauges,,,,,,,,,,,,,,,,,,,,
1888 Duplicate values removed,,,,,,,,,,,,,,,,,,,,
1889 Duplicate values removed,,,,,,,,,,,,,,,,,,,,
1890 Duplicate values removed,,,,,,,,,,,,,,,,,,,,
1891 Duplicate values removed,,,,,,,,,,,,,,,,,,,,
1892 Duplicate values removed,,,,,,,,,,,,,,,,,,,,
