REDEWATER (BLACKCLEUGH),,,,,,,,,,,,,,,,,,,,
Grid ref,NT704053,Long,-2.468228,Lat,55.34084,Elevation,1000,ft,,,,,,,,,,,,
Station no,3581/1/7,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,7.78,4.66,6.5,4.19,5.27,9.26,3.2,2.97,4.9,5.44,2.51,4.82,4.69,3.56,6.76,4.53,3.25,6.95
February,,,4.37,3.54,4.37,1.78,4.62,3.88,3.7,5.67,4.4,1,3.07,3.61,3.5,4.03,4.47,5.94,1.52,5.92
March,,,2.41,0.76,1.69,3.28,6.46,3.78,1.38,2.6,3.18,2.66,0.57,4.08,2.7,1.35,2.74,2.09,2.69,2.55
April,,,3,2.06,3.27,1.08,7.31,3.14,3.06,3.7,4.5,3.78,4.7,0.85,1.26,0.95,0.78,2.32,3.73,3.71
May,,,6.21,3.73,4.87,1.97,2.86,2.05,2.11,1.52,2.9,2.38,1.94,6.66,4.2,1.93,2.53,4.63,0.83,2.08
June,,,4.63,5.14,3.75,3.92,3.35,5.65,1.06,2.43,1.5,2.57,3.9,2.57,1.49,4.2,2.19,3.01,4.32,2.37
July,,,3.7,3,3.62,5.27,5.05,2.46,2.18,4.16,2.77,1.58,5.24,4.3,2.58,4.6,3.75,5.33,2.71,3.51
August,,,5.41,3.15,2.76,6.33,0.23,8.07,2.67,4.98,4.14,5.72,3.73,7,7.34,8.45,6.34,3.36,0.93,5.24
September,,4.18,4.6,5.6,5.06,5.46,3.09,4.49,1.95,7.25,4.18,4.24,4.95,5.47,3,2.95,3.14,4.15,1.03,2.89
October,,5.92,4.58,4.7,5.37,0.73,1.18,2.72,6.84,3.8,1.18,6.05,2.41,8.5,4,3.02,4.79,3.39,3.64,5.78
November,,1.03,3.37,8.49,0.59,8.2,4.56,2.77,5.75,6.18,7.9,4.92,5.45,7.83,2.26,1.65,1.61,0.87,7.15,6.45
December,,4.15,2.26,5.64,2.86,3.99,2.32,5.44,7.54,2.75,7.21,6,2.9,5.4,6.57,6.7,3.54,4.91,8.3,4.82
Total,,,52.32,50.47,44.71,46.2,46.3,53.71,41.44,48.01,48.76,46.34,41.37,61.09,43.59,43.39,42.64,44.53,40.1,52.27
,,,,,,,,,,,,,,,,,,,,
1942 100s transcribed as -999 so removed,,,,,,,,,,,,,,,,,,,,
1730,BLACK CLEUGH ,1942-1966,,,,,,,,,,,,,,,,,,
