HEADCORN-KILDALE,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ820467,Long,0.6038,Lat,51.1912,Elevation,75,ft,,,,,,,,,,,,
Station no,346/9,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,,,,,,,,,,
January,,,,1.45,2.2,1.48,,,,,,,,,,,,,,
February,,,,1.26,1.55,2.61,,,,,,,,,,,,,,
March,,,,0.08,1.38,1.56,,,,,,,,,,,,,,
April,,,,1.05,1.1,1.38,,,,,,,,,,,,,,
May,,,,0.59,2.1,2.15,,,,,,,,,,,,,,
June,,,,1.39,0.52,2.28,,,,,,,,,,,,,,
July,,,,2.7,1.77,2.9,,,,,,,,,,,,,,
August,,,,3.36,2.07,4.85,,,,,,,,,,,,,,
September,,,,3,0.86,2.38,,,,,,,,,,,,,,
October,,,,4.82,2.41,,,,,,,,,,,,,,,
November,,,,4.03,0.46,,,,,,,,,,,,,,,
December,,,,2.01,3.46,,,,,,,,,,,,,,,
Total,,,,25.74,19.88,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Gauge move 1946 Oct from Kildale to Great Tong,,,,,,,,,,,,,,,,,,,,
