COOKSTOWN LISSAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,IH7960082200,Long,-6.766492,Lat,54.681748,Elevation,300,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,RR343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919
January,,,,5.62,3.27,7.41,2.54,8.01,5.59,2.44,1.53,0.82,2.66,0.61,7.37,3.6,5.43,2.81,2.62,3.93,5.65,2.79,4,3.35,6.13,3.77,2.57,1.66,2.45,4.09,,4.58,3.11,6.91,4.18,3.1,4.33,1.98,3.4,3.54,3.65,1.74,3.86,4.79,2.33,3.58,2.39,,,
February,,,,1.51,2.01,1.4,4.7,3.93,2.68,2.03,3.25,4.73,3.3,4.9,4.33,4.43,3.26,2.26,0.98,3.92,1.39,0.57,2.46,4.31,5.88,0.5,2.75,4.14,4.11,3.52,,1.88,3.23,3.74,4.95,2.96,3.44,3.45,3.12,2.28,4.33,3.21,2.95,1.75,4.24,4.46,4,,,
March,,,,2.76,2.47,1.92,5.04,3.48,2.43,2.73,2.9,4.19,4.46,2.57,4.11,2.69,3.67,2.05,4.76,2.2,3.48,2.56,1.1,2.34,3.49,4.88,5.66,5.8,1.23,2.85,1.04,3.57,2.77,5.78,2.69,4.75,3.34,5.39,4.4,4.6,2.24,1.38,4.33,3.39,5.56,0.8,1.22,,,
April,,,,0.9,3,0.53,2.84,3.86,3.27,2.75,4.69,2.09,4.46,1.86,2.03,3.12,2.11,1.97,1,3.97,2.08,3.39,1.18,1.69,3.67,1.92,2.49,3.21,4.33,4.44,3.75,2.68,3.11,1.73,3.65,2.1,3.22,2.72,3.58,4.46,2.37,1.89,1.24,3.49,1.27,2.8,4.58,,,
May,,,,3.17,1.93,3.11,0.63,2.85,4.71,3.11,1.41,2.3,2.6,0.83,3.35,2.74,4.15,2.1,3.65,3.72,2.22,4.16,5.03,1.47,2.95,0.77,0.72,3.1,4.35,4.52,3.86,1.76,4.46,2.28,2.49,1.75,4.72,4.99,2.61,2.69,2.04,2.16,1.4,3.69,1.3,1.25,4.34,,,
June,,,,2.8,1.65,3.16,3.01,3.02,4.97,5.32,3.78,4.45,3.95,0.75,0.75,1.22,2.33,1.17,4.46,0.43,3.31,2.8,4.76,1.98,3.19,2.33,3.9,7.17,3.54,2.35,5.05,2.87,2.94,1.64,2.02,3.13,1.1,5.93,1.99,1.98,3.77,1.74,4.41,2.55,0.79,2.81,1.89,,,
July,,,,5.56,4.08,3.2,2.48,4.33,0.33,5.53,4.96,3.36,7.48,3.44,3.15,1.94,3.71,3.1,6.1,3.34,3.08,2.84,2.81,2.89,4.13,4.65,5.93,2.27,0.47,3.19,3.57,1.24,3.75,4.38,3.78,2.3,2.94,3.82,3.75,2.82,3.37,2.65,3.82,1.44,1.71,3.63,0.87,,,
August,,,,5.78,4.66,4.02,3.48,5.91,4,3.74,2.08,4.34,2.92,4.7,3.59,2.1,2.79,3.12,4.36,5.93,4.73,6.49,5.66,5.28,2.46,5.92,2.47,4.92,4.92,2.39,4.55,3.74,3.29,5.91,4.9,5.84,3.95,4.36,2.86,2.32,5.82,2.21,4.1,1.03,3.57,3.11,3.05,,,
September,,,,2.62,4.75,4.68,5.18,2.38,3.76,4.77,3.83,3.15,4.23,6.78,3.98,6.38,3.57,3.89,2.07,3.12,3.98,4.09,4.06,2.96,0.15,0.57,5.12,2.3,4.22,3.76,3.04,5.17,2.74,3.49,4.49,2.06,1.62,1.03,4.79,1.94,1.78,1.63,1.09,2.9,1.24,1.15,1.02,,,
October,,,,5.79,4.77,5.69,5.38,5.74,5.42,2.22,1.47,3.73,4.4,5.26,4.21,4.47,5.98,2.5,1.76,4.23,2.64,4.38,4.58,4.22,5.49,4.24,4.24,3.19,4.6,2.26,5.76,5.17,2.21,6.56,1.96,1.89,4.71,4.5,2.34,4.46,1.73,2.97,3.45,2.95,1.61,2.52,6.67,,,
November,,,,5.03,4.86,6.16,4.56,6.35,3.67,1.05,5.03,4.96,7.56,5.43,4.2,2.68,3.71,3,5.22,3.15,9.71,3.16,5.15,3.35,3.17,4.42,1.78,3.13,5.04,3.55,6.2,4.38,4.15,3.03,3.5,3.93,3.74,3.84,4.33,1.46,3.45,4.95,2.93,2.69,5.12,2.06,3.45,,,
December,,,,1.98,4.5,2.97,8.42,6.05,3.63,2.23,2.88,4.46,4.17,3.3,4.69,2.88,6.55,3.91,3.9,3.94,1.98,6.22,3.11,5.05,4.79,5.68,5.45,5.88,4.69,6.08,3.94,4.05,3.91,3.84,3.17,3.08,4.7,4.36,4.26,3.91,3.5,5,4.77,2.88,5.8,6.16,2.32,,,
Total,,,,43.52,41.95,44.25,48.26,55.91,44.46,37.92,37.81,42.58,52.19,40.43,45.76,38.25,47.26,31.88,40.88,41.88,44.25,43.45,43.9,38.89,45.5,39.65,43.08,46.77,43.95,43,,41.09,39.67,49.29,41.78,36.89,41.81,46.37,41.43,36.46,38.05,31.53,38.35,33.55,34.54,34.33,35.8,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOT USED: TYRain_1870-1879_13_pt3-page-053.csv essentially the same as page 52 and record notes esentially the same,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1900 Jan 4.5, Feb 2.5 estimated",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
