"COOKSTOWN, LISSAN",,,,,,,,,,,,
Grid ref,IH7960082200,Long,-6.766492,Lat,54.681748,,,,,,,
Station no,RR343,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,4.50,4.58,3.11,6.91,4.18,3.10,4.33,1.98,3.40,3.54,,
February,2.50,1.88,3.23,3.74,4.95,2.96,3.44,3.45,3.12,2.28,,
March,1.04,3.57,2.77,5.78,2.69,4.75,3.34,5.39,4.40,4.60,,
April,3.75,2.68,3.11,1.73,3.65,2.10,3.22,2.72,3.58,4.46,,
May,3.86,1.76,4.46,2.28,2.49,1.75,4.72,4.99,2.61,2.69,,
June,5.05,2.87,2.94,1.64,2.02,3.13,1.10,5.93,1.99,1.98,,
July,3.57,1.24,3.75,4.38,3.78,2.30,2.94,3.82,3.75,2.82,,
August,4.55,3.74,3.29,5.91,4.90,5.84,3.95,4.36,2.86,2.32,,
September,3.04,5.17,2.74,3.49,4.49,2.06,1.62,1.03,4.79,1.94,,
October,5.76,5.17,2.21,6.56,1.96,1.89,4.71,4.50,2.34,4.46,,
November,6.20,4.38,4.15,3.03,3.50,3.93,3.74,3.84,4.33,1.46,,
December,3.94,4.05,3.91,3.84,3.17,3.08,4.70,4.36,4.26,3.91,,
Total,47.76,41.09,39.67,49.29,41.78,36.89,41.81,46.37,41.43,36.46,,
Calc annual,47.76,41.09,39.67,49.29,41.78,36.89,41.81,46.37,41.43,36.46,,
Difference,0.00,0.00,0.00,-0.00,-0.00,0.00,-0.00,-0.00,0.00,-0.00,,
