CROWBOROUGH-BOARS-HEAD (STEEL CROSS HOUSE),,,,,,,,,,
Grid ref,TQ5310131642,Long,0.183534,Lat,51.063704,Elevation,533,ft,,
Station no,RR7722,,,,,,,,,
,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909
January,,,1.42,3.54,5.93,1.6,6.88,1.53,,
February,,,1.67,2.06,3.9,1.16,3.28,2.21,,
March,,,1.86,3.99,1.54,5.3,2.32,1.26,,
April,,,1.04,2.72,1.48,2.84,1.18,3.81,,
May,,,3.05,2.38,3.22,1.32,2.6,2.89,,
June,,,3.83,4.09,1.36,4.29,2.55,3.07,,
July,,,1.61,5.58,1.09,0.42,0.65,1.88,,
August,,,4.96,4.77,1.74,3.69,1.52,2.66,,
September,,1.7,0.53,2.63,2.42,2.67,1.71,0.91,,
October,,3.27,2.85,8.87,2.75,2.58,5.78,,,
November,,0.85,3.04,2.63,1.85,6.19,7.86,,,
December,,6.03,2.55,2.89,4.72,1.17,2.53,,,
Total,,,28.41,46.15,32,33.23,38.86,,,
