MEASAND BECK HAWESWATER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NY486154,Long,-2.7957843,Lat,54.531255,Elevation,861,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR3015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,6,7.5,9.5,5.5,3,15.75,16.5,6.25,10.5,2.5,12.25,3.75,0.75,1.5,0.5,2.25,,9.75,,,,,
February,,,,,,,,5.5,7.5,10,6,5.25,7.5,1,3.75,0.5,5.5,2.75,3.5,6.75,9,4.5,6.25,2.5,,,,,,
March,,,,,,,,4,8,0.5,2.25,3,4.25,2.75,3.5,2,4.25,2.5,1.5,2.75,2,1.5,5,0.25,,,,,,
April,,,,,,,,6.5,5,2,2,2.75,2.5,0.25,3.25,1.5,3.5,2.75,2.25,1.25,0.5,2.5,6.75,4.25,,,,,,
May,,,,,,,,3,2.25,3,4.5,1,2.75,1.75,1.5,2.25,0.75,4.25,6,2.5,1,3.5,3,5.75,,,,,,
June,,,,,,,,2.25,1.25,2.75,1.5,2,3.75,2.5,1.75,2,3.5,3.75,3.5,5,2.5,4.5,4,4,,,,,,
July,,,,,,,,5.5,0,2.5,0.5,5.5,5.25,5.25,1.75,3,2.25,5.5,1,4.75,4.25,5,8.75,1.75,,,,,,
August,,,,,,,,4,8.75,2.5,2,4.75,4.75,5.25,7.5,3.25,4.25,7.5,4.75,6.75,1.5,6.5,5.75,6.5,,,,,,
September,,,,,,,1,3.75,3.75,13.25,5,4.25,8.25,3,8,5.5,5,3.75,5.75,6.25,4.75,3,2.5,,,,,,,
October,,,,,,,3.5,6.25,8,4,12,7.25,10.25,5.5,14.75,5.5,5,9.5,7.25,0.75,2.5,3.5,1.5,4.75,,,,,,
November,,,,,,,4.5,1,3.75,5,4.5,2,8.5,3.25,2.5,5.5,4,,3,2.25,8.5,9.75,6.25,,,,,,,
December,,,,,,,7.5,3,14,7,3.25,7.5,8.75,3.25,2.25,6,10,5.25,3.25,4,5,7,5.5,,,,,,,
Total,,,,,,,,50.75,69.75,62,49,48.25,82.25,50.25,56.75,47.5,50.5,,45.5,43.75,43,51.75,57.5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1877 Nov - gauge meddled with and observer computed 9.25"" as estimate. Removed with total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
