GUISBOROUGH LOCKWOOD BECK RESERVOIR,,,,,,,,,,,,
Grid ref,NZ668141,Long,-0.969599,Lat,54.517804,,,,,,,
Station no,3478,,,,,,,,,,,
,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,,
January,3.45,2.53,1.42,2.61,2.05,0.42,2.83,0.84,1.19,0.81,,
February,5.57,3.32,1.81,1.67,3.96,1.23,2.06,1.10,1.98,1.65,,
March,2.05,2.33,1.42,2.77,1.95,1.64,1.63,1.02,2.76,4.40,,
April,1.53,1.78,1.70,1.90,1.54,2.67,0.94,2.51,2.80,2.55,,
May,1.37,2.25,2.93,3.50,3.60,1.28,4.42,3.83,2.57,1.65,,
June,3.21,1.57,3.50,4.69,1.35,1.00,1.21,2.85,0.92,3.94,,
July,2.16,5.09,3.66,4.75,3.24,0.83,1.32,2.16,2.86,3.23,,
August,7.03,2.97,2.70,1.94,2.99,2.63,3.27,2.28,3.04,5.15,,
September,0.62,1.03,1.22,3.82,1.51,3.01,0.93,0.76,1.93,2.94,,
October,6.52,2.71,3.60,8.50,0.57,4.51,5.97,5.87,1.37,3.21,,
November,3.61,4.64,1.05,3.54,2.98,6.18,3.74,2.77,2.12,2.11,,
December,2.23,4.25,3.03,1.34,2.51,0.59,2.53,3.82,1.57,4.38,,
Total,39.35,34.47,28.04,41.03,28.25,25.99,30.85,29.81,25.11,36.02,,
Calc annual,39.35,34.47,28.04,41.03,28.25,25.99,30.85,29.81,25.11,36.02,,
Difference,0.00,0.00,-0.00,-0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,,
