LOCKWOOD BECK RESERVOIR - MONTHLY GAUGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NZ671140,Long,-0.965,Lat,54.517,Elevation,632,ft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Station no,3478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923
January,,1.35,1.45,2.08,,,,,,,2.28,,,,,,,2.40,0.92,3.16,3.40,2.45,1.37,2.58,2.03,0.40,2.86,0.80,1.19,,3.16,,3.03,3.84,1.57,4.04,1.26,4.64,1.50,2.70,3.60,4.38,2.62,1.81
February,,2.65,1.25,3.02,,,,,,,2.50,,,,,,,1.98,1.99,1.28,5.48,3.21,1.78,1.64,3.91,1.18,2.01,1.10,1.92,,3.35,,1.46,1.02,2.03,4.18,4.25,0.65,1.54,1.73,1.09,0.38,1.79,4.62
March,,2.12,2.70,1.93,,,,,,,3.00,,,,,,,4.20,3.10,2.01,1.99,2.26,1.40,2.68,1.92,1.65,1.61,1.01,2.78,,0.70,,2.98,2.76,2.07,1.84,4.20,2.40,1.47,4.68,2.75,1.51,2.60,1.19
April,,1.12,5.06,1.43,,,,,,,1.06,,,,,,,1.72,2.60,2.44,1.45,1.70,1.69,1.88,1.56,2.68,0.91,2.49,2.78,,3.24,,0.17,3.32,0.67,1.16,2.10,2.80,1.95,1.95,3.58,1.50,1.88,1.85
May,,1.24,1.11,3.20,,,,,,,3.04,,,,,,,0.92,2.94,3.77,1.31,2.21,2.90,3.45,3.57,1.27,4.40,3.83,2.58,,2.21,,2.96,1.64,2.35,2.30,2.95,1.40,2.10,0.76,1.95,1.64,2.13,4.37
June,,1.50,4.20,2.85,,,,,,,3.42,,,,,,,2.58,1.59,1.19,3.16,1.55,3.42,4.68,1.32,1.00,1.22,2.84,0.96,,2.19,5.85,4.48,1.95,6.03,0.44,2.15,1.56,0.63,1.80,0.91,0.59,2.39,1.54
July,,5.09,2.65,5.72,,,,,,,2.64,,,,,,,1.36,1.60,1.13,2.14,5.05,3.56,4.72,3.21,0.82,1.32,2.18,2.84,,3.06,1.12,6.02,1.55,7.45,5.31,1.76,1.35,3.28,2.00,5.45,1.79,5.30,2.60
August,1.90,5.83,3.58,1.59,,,,,,,4.40,,,,,,,3.55,2.48,1.05,7.04,2.98,2.67,1.90,3.03,2.63,3.28,2.28,3.01,,3.46,2.57,5.31,1.70,1.10,3.51,2.90,6.80,2.57,3.15,2.39,5.99,3.28,3.83
September,5.75,4.88,1.75,4.37,,,,,,,2.30,,,,,,,3.26,0.18,3.95,0.71,1.04,1.19,3.80,1.50,2.98,0.89,0.75,1.80,,1.31,2.52,2.58,1.59,2.23,2.34,1.25,0.60,4.90,1.20,1.69,0.91,3.68,2.40
October,8.98,4.54,4.92,4.05,,,,,,,3.10,,,,,,,1.60,4.90,4.25,6.42,2.65,3.53,8.45,0.57,4.46,5.92,5.87,1.39,,4.36,2.27,2.85,3.84,2.83,2.20,3.60,2.63,2.80,6.70,2.24,1.99,1.78,2.45
November,3.15,2.50,5.02,2.24,,,,,,,4.82,,,,,,,2.90,3.65,1.99,3.56,4.64,1.03,3.51,2.90,6.15,3.70,2.74,2.08,,3.04,4.80,2.85,2.01,3.80,3.35,4.10,2.56,1.50,3.65,0.65,2.36,1.96,6.01
December,4.04,3.34,4.05,2.03,,,,,,,2.42,,,,,,,1.99,1.47,3.05,2.22,4.24,2.96,1.34,2.54,0.60,2.48,3.76,1.56,,2.68,4.57,1.22,2.65,6.37,5.64,4.52,2.00,3.88,2.88,2.50,2.22,4.78,3.43
Total,,36.16,37.74,34.51,,,,,,,34.98,,,,,,,28.46,27.42,29.27,38.88,33.98,27.50,40.63,28.06,25.82,30.60,29.65,24.89,,32.76,,35.91,27.87,38.50,36.31,35.04,29.39,28.12,33.20,28.80,25.26,34.19,36.10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1880-1889_11_pt2/058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1890-1899_17_pt1/204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1900-1909_22_pt1/061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1910-1919_21_pt1/053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TYRain_1920-1930_24_pt1/032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# The two 1900s sheets for this gauge are duplicates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# A separate gauge ran in parallel to this monthly gauge.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
