Rainfall at,GUISBOROUGH LOCKWOOD RESERVOIR
,
Station no,3478,
,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,3.77,4.40,2.45,1.81,1.79,1.63,3.12,1.91,3.93,2.72,4.39,
February,1.09,0.70,1.83,4.71,1.43,4.55,1.85,1.31,1.97,1.45,1.82,
March,2.75,1.53,2.24,1.36,1.07,2.37,0.97,2.54,2.83,0.28,3.59,
April,3.45,1.48,1.81,1.62,1.93,2.89,1.30,2.20,2.11,1.75,3.58,
May,2.02,1.62,2.07,4.41,5.26,2.41,2.27,1.74,1.91,1.60,2.27,
June,0.96,0.56,2.42,1.45,2.87,1.08,3.70,3.28,5.33,2.30,1.81,
July,5.69,1.80,5.20,2.79,4.40,2.76,4.58,3.74,1.28,2.11,12.08,
August,2.35,6.29,3.30,3.78,2.04,3.68,3.17,8.05,6.03,4.06,4.58,
September,1.69,0.93,3.64,2.43,2.17,3.36,1.68,6.64,0.98,1.18,4.21,
October,2.23,2.03,2.01,2.45,4.17,2.75,3.61,2.59,3.55,3.01,2.60,
November,0.75,2.39,1.71,6.14,1.38,4.37,5.39,5.33,3.20,3.24,4.67,
December,2.54,2.21,4.79,3.50,3.67,4.48,1.75,3.34,2.07,5.04,2.87,
Total,29.29,25.94,33.47,36.45,32.18,36.33,33.39,42.67,35.19,28.74,48.47,
Calc annual,29.29,25.94,33.47,36.45,32.18,36.33,33.39,42.67,35.19,28.74,48.47,
Difference,-0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,-0.00,0.00,
