"GUISBOROUGH (LOCKWOOD RES)",,,,,,,,,,,,
Grid ref,NZ668141,Long,-0.969599,Lat,54.517804,,,,,,,
Station no,3478,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,1.99,2.86,1.24,2.99,2.46,3.10,1.83,2.25,3.20,6.27,,
February,3.13,1.20,3.77,2.07,3.01,2.71,2.87,3.60,0.53,2.97,,
March,4.21,1.79,0.25,2.39,2.02,0.86,0.97,2.60,0.79,1.32,,
April,2.09,1.40,2.58,0.25,1.44,1.43,1.02,1.80,2.61,0.78,,
May,6.31,1.39,1.62,3.10,3.14,0.68,0.99,3.56,0.83,1.16,,
June,2.73,1.55,3.59,2.10,2.27,3.83,2.39,3.60,2.34,0.60,,
July,2.43,2.39,2.86,1.67,1.29,3.30,3.51,3.69,3.69,5.36,,
August,7.21,2.52,2.83,10.43,1.02,9.26,3.63,2.26,0.42,3.24,,
September,1.25,7.38,1.70,1.50,1.33,1.59,3.64,1.86,0.98,3.39,,
October,2.19,3.99,2.84,5.08,2.68,2.04,2.44,1.56,1.62,9.95,,
November,5.92,4.97,1.93,5.94,2.04,2.17,2.39,1.32,5.61,4.04,,
December,3.71,3.05,1.79,2.57,4.01,1.99,2.23,4.03,5.11,3.63,,
Total,43.17,34.49,27.00,40.09,26.71,32.96,27.91,32.13,27.73,42.71,,
Calc annual,43.17,34.49,27.00,40.09,26.71,32.96,27.91,32.13,27.73,42.71,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,-0.00,,
