PRESTBURY-DELHOME,,,,,,,,,,,,,,,,,,,,
Grid ref,SO971239,Long,-2.0435678,Lat,51.913622,Elevation,300,ft,,,,,,,,,,,,
Station no,2178/5,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950
January,,,,2.02,0.83,3.31,3.73,2.86,5.48,2.11,3.22,2.86,4.83,1.81,1.63,,,,,
February,,,,0.49,2.08,2.66,3.94,0.77,1.24,2.28,2.37,0.66,1.49,1.05,1.54,,,,,
March,,,,2.33,0.47,1.74,3.98,0.24,2.21,1.89,2.78,1.97,1,0.42,1.14,,,,,
April,,,,2.52,4.11,2.15,2.61,0.21,3.35,2.73,1.31,1.17,0.83,1.16,1.2,,,,,
May,,,,1.02,1.38,0.66,2.36,1.61,0.98,1.89,1.82,3.39,2.46,0.86,2.24,,,,,
June,,,,1.15,2.73,3.21,1.77,0.99,2,0.48,2.12,0.14,2.53,2.44,2.55,,,,,
July,,,1.45,2.33,0.48,5.86,2.86,3.19,4.8,3.68,2.39,2.13,0.68,2.56,1.74,,,,,
August,,,0.38,2.15,1.28,0.23,0.47,3.29,2.51,0.2,3.88,4.08,1.69,3.39,1.84,,,,,
September,,,2.13,1.77,3.93,3.49,1.74,2.76,1.38,1,0.82,1.8,1.74,2.43,1.68,,,,,
October,,,3.65,1.14,4.43,1.85,3.32,2.89,3.4,3.29,2.17,2.72,2.09,3.94,2.78,,,,,
November,,,0.88,2.2,5.37,2.39,1.43,2.91,4.08,5.75,2.68,1.84,1.52,3.89,0.56,,,,,
December,,,0.57,4.31,3.66,3.51,2.18,3.37,1.87,1.39,2.04,3.29,1.24,3.21,5.19,,,,,
Total,,,,23.43,30.75,31.06,30.39,25.09,33.3,26.69,27.6,26.05,22.1,27.16,24.09,,,,,
