QUENNMORE (HARE SYKE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SD598576,Long,-2.614941,Lat,54.012838,Elevation,1610,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,3065/8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,6.7,5.7,10.2,5.6,3.7,2.02,8,9.9,-999,6.3,5.8,5.6,10.7,6.3,4.2,6.6,6.1,4.8,7.6,3.6,5.1,8.6,5.7,3.5,8.6
February,,,,,,4.01,10.2,3.87,6.4,2.1,7.9,,4.7,-999,7.3,6.9,1.25,3.9,4.9,7.1,5.2,2.3,3.1,4.9,2,1.1,5.2,10.08,2.1,5.7
March,,,,,,3.98,1.9,3.3,3.05,7.6,4.8,4,3,-999,5.9,2.5,8.45,4.7,3.4,4.6,6.9,3.4,1.6,4.2,2.2,2.7,6.5,2.5,4.1,2.1
April,,,,,,2.8,5.8,2.6,4.3,4.3,2.98,2.8,4.9,-999,4.6,3,5.6,3.1,8.1,5.4,4.6,4.6,4.4,1.8,4.6,2.4,0.5,3.1,4.5,6
May,,,,,,2.33,2.9,5.2,1.7,1.4,4.9,5.8,5.9,5.8,5.3,2.7,3.4,2.1,2.4,3.2,3.7,3.7,3.8,4.1,6.1,5.3,4.65,7.9,3.8,2.8
June,,,,,,4.73,6,8.1,4.9,1.2,1.4,1.9,5.3,6.4,6.9,5.1,3.9,7.8,1.7,5.8,2.4,9.3,3.1,7.6,6.2,6.1,3.8,5.4,4.6,3.2
July,,,,,,9.52,4,8.6,10.52,6.9,2.1,7.3,5.5,6.2,7.1,8.2,6.5,5.1,6.2,7.8,5.8,5.9,10.1,14.3,1.4,9.9,9.2,4.8,6.3,11.6
August,,,,,,5.9,4.1,6.1,3.2,6.1,10.9,7.9,11.48,5.1,4.4,10.3,0.21,5.4,4.81,10.9,6.9,12.6,8.9,11.1,1.2,20.25,7.3,9.4,1.4,6.9
September,,,,,,7.6,5.4,3.6,2.8,12,3.5,7.9,8.6,10.7,6.4,10.7,5.9,8.6,4.8,11.6,6.1,8.9,8.1,10.1,6.7,6,12.3,7.4,0.8,6
October,,,,,,8.3,2.6,17.1,2.9,6.8,10.1,14.2,7,8.9,7.6,0.9,1.1,6.9,8.5,7.6,2.6,5.5,4.6,16.92,4.7,6.2,8.6,8.5,6.6,5
November,,,,,,9.3,2.23,8.6,8.02,8.9,4.2,2.4,5.6,8.8,1.3,8.7,7.3,6.2,8.9,8.4,11.9,4.4,8.7,11.1,3.4,3.6,3.5,3,6.9,11.9
December,,,,,,9.8,4.2,8.1,5.1,9.6,8.7,7.1,4.4,6.7,4.7,7.7,4.1,6.1,9.2,4.2,16.3,6.1,4.1,9.1,10.1,8.2,9.1,5.1,10.9,8.9
Total,,,,,,74.97,55.03,85.37,58.49,70.6,63.5,,76.28,78.1,67.8,72.5,53.31,70.6,69.21,80.8,79,72.8,65.3,102.82,52.2,76.85,79.25,72.88,55.5,78.7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1942 Feb estimated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 Jan/Feb/Mar/Apr apportioned so all set as -999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
