WELLS-WOOKEY-VICARAGE,,,,,,,,,,,,,,,,,,,,,
Grid ref,ST520457,Long,-2.68851,Lat,51.2089,Elevation,80,ft,,,,,,,,,,,,,
Station no,2018,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,2.52,4.27,3.61,5.45,1.86,4.68,2.74,2.76,,,,,,,,
February,,,,,,4.39,2.36,3.74,3.15,1.69,0.61,3.17,0.04,,,,,,,,
March,,,,,,0.51,0.81,3.83,2.48,0.21,2.17,0.79,1.93,,,,,,,,
April,,,,,,2.47,3.04,1.79,1.55,0.79,2.66,2.82,3.18,,,,,,,,
May,,,,,,3.33,2.22,1.77,1.45,2.4,2.1,3.87,5.39,,,,,,,,
June,,,,,,0.01,3.43,3.47,2.39,1.69,0.6,3.23,1.26,,,,,,,,
July,,,,,,4.19,4.11,4.19,2.67,1.78,3.09,4.46,4.5,,,,,,,,
August,,,,,,5.07,2.39,4.43,3.92,4.14,4.06,4.71,1.35,,,,,,,,
September,,,,,3.71,4.1,1.82,6.72,1.08,0.56,3.82,2.43,4.99,,,,,,,,
October,,,,,5.43,3.4,4.88,2.91,6.38,5.85,3.29,0.91,6.58,,,,,,,,
November,,,,,3.5,2.43,7.45,3.9,3.68,8.34,5.3,3.85,3.05,,,,,,,,
December,,,,,3.69,3.43,0.69,2.92,3.07,7.07,4.52,1.39,2.03,,,,,,,,
Total,,,,,,35.85,37.47,43.28,37.27,36.38,36.9,34.37,37.06,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
1924 Aug Gauge moved from Pitcombe,,,,,,,,,,,,,,,,,,,,,
1925 Sept Gauge raised 2ft from ground,,,,,,,,,,,,,,,,,,,,,
1932 May July Total Values amended in red ink,,,,,,,,,,,,,,,,,,,,,
1932 Station terminated Gauge moved to Privett The Vicarage tn No 718/5,,,,,,,,,,,,,,,,,,,,,
