SETTLE-BROWN-HILL,,,,,,,,,,
Grid ref,SD756602,Long,-2.3740507,Lat,54.037197,Elevation,910,ft.,,
Station no,3089/8,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,,4.37,8
February,,,,,,,,,1.42,5.95
March,,,,,,,,,,1.84
April,,,,,,,,,4.07,4.59
May,,,,,,,,,1.11,1.99
June,,,,,,,,,3.6,2.69
July,,,,,,,,,4.75,8.57
August,,,,,,,,,0.74,4.49
September,,,,,,,,,0.53,3.77
October,,,,,,,,,7.04,4.14
November,,,,,,,,,6.7,10.55
December,,,,,,,,,11.88,7.47
Total,,,,,,,,,,64.05
,,,,,,,,,,
NGR is from the 1950s record and is near Brown Hill building. Altitudes match.,,,,,,,,,,
MIDAS src_id 12333 ends 1982 but says started in 1960.,,,,,,,,,,
