DUNKELD,,,,,,,,,,
Grid ref,NO023436,Long,-3.591807,Lat,56.574136,Elevation,480,ft,,
Station no,5549/5,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,3.2,1,4.85,2.4,3.05,5.45,3.95,1.46,4.87
February,,0.7,1.2,5.1,2.05,2.3,5.05,2.25,0.7,7.57
March,,3.07,0.6,3.75,2.1,2.33,3.3,2.2,,3.86
April,,1.8,2.1,1.43,1,0.6,0.97,0.7,,9.02
May,,4.05,2.5,4.1,2,1.02,2.46,3.3,,4.9
June,,2.37,2.3,2.4,2.22,4.45,1.34,3.35,,3.09
July,,1.45,3.3,3.15,0.6,4.55,5.2,5.2,,4.24
August,,4.5,2.87,3.8,1.33,6.45,4.6,4.55,,5.05
September,,1.3,3.55,4.4,2.1,3.8,2.01,4.8,,4.7
October,,5.2,2.74,6.95,2.45,2.17,1.5,2.5,,
November,,2,3.12,8.2,2.38,1.83,1.55,1.07,,
December,,2.2,4.5,5.05,7,5.95,4.5,5.4,,
Total,,31.84,29.78,53.18,27.63,38.5,37.93,39.27,,
,,,,,,,,,,
BR 1952 P,,,,,,,,,,
BR 1953 P Ja Fe Apportioned,,,,,,,,,,
BR 1954 P,,,,,,,,,,
BR 1955 P,,,,,,,,,,
BR 1956 P,,,,,,,,,,
BR 1957 NP Badly O/S,,,,,,,,,,
BR 1958 NP Poor Exposure,,,,,,,,,,
1960 Ja-Sep Deleted Dup with ,,,,,,,,,,
ALMOND-INTAKE,,,,,,,,,,
,,,,,,,,,,
Station no,5549/5,,,,,,,,,
Midas,15208,,,,,,,,,
Hyd Stn,872050,,,,,,,,,
