DUNKELD,,,,,,,,,,,,
Grid ref,NO023436,Long,-3.591807,Lat,56.574136,,,,,,,
Station no,5549/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,3.20,1.00,4.85,2.40,3.05,5.45,3.95,1.46,4.87,,
February,,0.70,1.20,5.10,2.05,2.30,5.05,2.25,0.70,7.57,,
March,,3.07,0.60,3.75,2.10,2.33,3.30,2.20,,3.86,,
April,,1.80,2.10,1.43,1.00,0.60,0.97,0.70,,9.02,,
May,,4.05,2.50,4.10,2.00,1.02,2.46,3.30,,4.90,,
June,,2.37,2.30,2.40,2.22,4.45,1.34,3.35,,3.09,,
July,,1.45,3.30,3.15,0.60,4.55,5.20,5.20,,4.24,,
August,,4.50,2.87,3.80,1.33,6.45,4.60,4.55,,5.05,,
September,,1.30,3.55,4.40,2.10,3.80,2.01,4.80,,4.70,,
October,,5.20,2.74,6.95,2.45,2.17,1.50,2.50,,,,
November,,2.00,3.12,8.20,2.38,1.83,1.55,1.07,,,,
December,,2.20,4.50,5.05,7.00,5.95,4.50,5.40,,,,
Total,,31.84,29.78,53.18,27.63,38.50,37.93,39.27,,,,
Calc annual,0.00,31.84,29.78,53.18,27.63,38.50,37.93,39.27,2.16,47.30,,
Difference,NaN,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,NaN,NaN,,
