PLYMOUTH-BOVEYSAND-LODGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SX496506,Long,-4.1139,Lat,50.3361,Elevation,75,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,1633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,,1.63,1.93,3.57,5.49,5.12,4.03,4.93,2.16,6.52,5.48,5.75,4.83,6.55,3.66,6.22,3.32,3.8,1.86,3.19,0.7,6.14,4.18,4.74,6.53,
February,,,,,,,5.33,1.52,2.17,6.07,0.6,0.36,3.09,7.24,2.23,5.04,2.85,2.85,3.16,2.86,1.49,2.95,0.03,3.55,0.1,3.12,4.26,7.58,1.2,1.69,
March,,,,,,,4.28,3.45,1.94,5.01,3.56,2.01,2.9,2.31,2.01,0.48,0.76,3.39,4.87,0.64,3.93,2.27,2.08,3.76,3.85,1.1,4.04,4.93,0.38,1.23,
April,,,,,,,0.81,1.59,1.45,2.25,3.28,0.89,3.21,3.27,3.8,3.1,2.66,2.52,1.65,0.95,3.01,3.43,2.99,3.13,2.61,4.29,1.94,3.47,0.3,2.88,
May,,,,,,,1.48,3.05,0.94,1.5,1.67,2.31,1.52,3.33,4.98,4.32,2.79,0.29,1.75,3.4,2.06,3.99,4.56,1.87,1.53,1.77,0.72,3.23,3.72,1.03,
June,,,,,,,2.14,2.58,0.82,0.99,2.6,0.07,0.91,0.57,1.68,0.04,2.1,2.85,2.05,2.46,0.45,3.94,3.52,1.77,1.69,3.48,1.11,1.31,0.98,3.84,
July,,,,,,,0.79,2.2,3.6,1.11,4.14,0.88,3.59,0.64,5.88,3.08,0.57,3.43,1.65,1.41,1.61,4.68,2.38,2.14,0.55,0.36,7.07,1.3,3.28,4.94,
August,,,,,,,3.32,3.83,2.34,3.13,1.06,2.76,4.13,2.01,3.11,3.69,1.75,2.78,1.8,2.73,3.64,3.17,1.97,1.5,3.46,2.73,0.33,1.07,3.75,3.3,
September,,,,,,,1.99,2.31,7.11,1.81,2.32,0.96,2.82,2.94,4.43,3.61,0.47,4.79,2.45,0.73,3.54,1.88,4.5,1.99,2.59,3.11,2.38,1.67,1.97,0.49,
October,,,,,,,6.04,3.87,2.4,1.75,4.24,1.13,1.93,5.5,8.74,4.11,2.52,1.92,4.61,5.18,3.57,0.73,5.41,3.06,1.91,4.57,0.84,2.73,3.02,5.68,
November,,,,,,,6.63,1.6,2.97,3.2,1.99,3.87,2.03,2.34,4.61,3.54,8.91,4.23,2.87,11.62,6.18,6.92,2.19,1.45,1.66,6.85,2.18,3.2,7.35,5.32,
December,,,,,,,4.83,1.44,5.06,6.1,5.32,1.32,6.05,3.82,5.94,5.42,0.57,4.95,4.01,6.95,4.49,1.69,2.95,2.55,10.77,5.32,3.28,4.09,3.2,2.6,
Total,,,,,,41.05,39.27,29.37,34.37,38.41,35.9,20.59,37.11,36.13,53.93,41.91,31.7,38.83,37.42,42.59,40.19,38.97,36.38,28.63,33.91,37.4,34.29,38.76,33.89,39.53,
