"HARROGATE (IRONGATEBRIDGE RES)",,,,,,,,,,,,
Grid ref,SE287548,Long,-1.563785,Lat,53.988456,,,,,,,
Station no,3360,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,2.58,3.13,0.55,2.08,1.96,4.19,1.67,2.27,3.08,4.91,,
February,3.00,0.47,1.56,2.71,2.03,1.54,2.57,4.32,0.07,2.26,,
March,3.59,2.13,0.67,2.00,2.11,1.30,2.17,2.01,1.44,2.71,,
April,1.21,1.39,2.71,0.33,1.04,2.33,0.34,0.92,4.23,1.44,,
May,5.96,1.63,1.53,4.37,2.55,0.81,1.21,3.72,0.70,0.97,,
June,1.11,1.84,1.63,1.92,1.98,3.71,1.62,3.72,1.32,1.05,,
July,2.28,1.57,3.18,1.15,1.18,5.11,2.60,3.87,1.63,4.26,,
August,5.65,3.39,3.84,6.19,1.22,6.95,5.35,2.86,1.09,2.51,,
September,2.53,3.65,2.14,2.53,1.60,4.12,3.90,3.71,0.13,3.49,,
October,0.95,3.59,2.13,4.24,2.21,1.38,3.18,2.06,2.62,6.52,,
November,7.45,1.64,2.86,5.49,2.41,0.76,1.99,0.80,4.19,5.92,,
December,3.21,2.16,1.38,2.92,4.10,2.58,2.93,4.46,5.63,3.35,,
Total,39.52,26.59,24.18,35.93,24.39,34.78,29.53,34.72,26.13,39.39,,
Calc annual,39.52,26.59,24.18,35.93,24.39,34.78,29.53,34.72,26.13,39.39,,
Difference,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
