ROWLEDGE-(HAMPSHIRE),,,,,,,,,,
Grid ref,SU820434,Long,-0.82815,Lat,51.1839,Elevation,350,ft,,
Station no,745/2,,,,,,,,,
,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,,3.2,3.23,3.94
February,,,,,,,,2.81,0.2,3.18
March,,,,,,,,1.48,3,1.6
April,,,,,,,,0.9,2.75,0.8
May,,,,,,,,2.12,0.82,2.91
June,,,,,,,,4.28,1.27,1.48
July,,,,,,,,1.56,4.15,3.22
August,,,,,,,,4.37,2.42,4.56
September,,,,,,,,4.74,0.21,3.71
October,,,,,,,,3.17,3.13,8.25
November,,,,,,,,2.37,3.9,5.77
December,,,,,,,,3.09,6.43,4.09
Total,,,,,,,,34.09,31.51,43.51
,,,,,,,,,,
Gauge previously at 744/5/5 KINGSLEY SLEAFORD 3 miles SSW,,,,,,,,,,
NGR taken from MIDAS as NGR on sheet is in Surrey,,,,,,,,,,
,,,,,,,,,,
Post 1960 known as Rowledge No 2 SRC_ID 6351,,,,,,,,,,
1958-1969,,,,,,,,,,
