WEST-BYFLEET-STARCROSS,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ039605,Long,-0.50995,Lat,51.33411,Elevation,110,ft,,,,,,,,,,,,,
Station no,228,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,2.78,1.53,2.57,2.19,3.17,1.84,3.3,1.31,3.46,1.34,1.57,1.48,1.99,0.83,4.35,4.47,,,
February,,,2.34,3.37,0.46,3.75,2.18,4.23,1.81,0.44,0.65,1.34,0.18,3.51,0.24,2.61,1.79,3.89,,,
March,,,2.08,2.7,1.13,0.64,0.37,2.59,1.67,0.04,1.2,0.18,1.31,2.77,2.24,0.78,1.24,3.46,,,
April,,,2.76,2.2,3.1,2.38,3.24,1.77,2.11,1.01,1.65,4.59,2.38,0.78,2.38,3.29,1.53,2.64,,,
May,,,0.67,2.58,3.11,1.91,1.6,0.85,2.2,2.09,2.41,2.54,4.03,3.33,0.68,1.45,0.78,2.23,,,
June,,,1.08,0.39,3.1,0.03,3.17,3.23,2.15,1.59,1.55,1.85,1.16,2.2,1.39,3.04,3.25,1.79,,,
July,,,2.63,1.79,3.8,3.65,1.88,3.15,2.08,1.16,2.69,3.39,3.34,1.25,2.72,2.53,2.69,0.92,,,
August,,,2.62,1.72,2.87,3.49,0.82,3.2,2.5,2.42,3.08,4.5,0.99,0.68,2.27,3.23,0.8,1.5,,,
September,,,1.38,1.39,3.39,2.59,1.56,4.52,1.27,0.23,2.9,1.87,1.92,2.25,1.49,3.91,2.73,1.74,,,
October,,,0.94,6.59,3.74,2.71,2.34,1.3,4.63,3.06,1.04,0.63,4.94,2.07,1.75,2.66,2.36,3.11,,,
November,,,1.46,1.55,2.74,1.77,4.74,3.21,1.57,6.06,4.89,2.8,1.73,0.85,2.54,5.88,3.26,1.51,,,
December,,,3.8,2.36,3.86,3.04,0.28,4.05,2.22,6.09,1.95,0.56,0.41,0.45,5.09,2.44,2.16,4.97,,,
Total,,,24.54,28.17,33.87,28.15,25.35,33.94,27.51,25.5,27.47,25.59,23.96,21.62,24.78,32.65,26.94,32.23,,,
,,,,,,,,,,,,,,,,,,,,,
Starcross Old Woking Rd,,,,,,,,,,,,,,,,,,,,,
House not located but NGR matches distances and elevation,,,,,,,,,,,,,,,,,,,,,
1929 Oct 15 Inspection Over sheltered by trees,,,,,,,,,,,,,,,,,,,,,
1929 Oct 26 Gauge moved 25ft NW,,,,,,,,,,,,,,,,,,,,,
1938 Station terminated Observer moved to Bramley,,,,,,,,,,,,,,,,,,,,,
