HARTLEY-WESPALL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,SU697590,Long,-1.00035,Lat,51.32628,Elevation,233,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,RR7653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899
January,,,4.9,2.98,1.66,3.41,0.85,3.32,1.01,3.07,0.3,0.98,1.33,2.3,2.77,2.8,3.37,3.66,0.63,1.25,2.29,1.12,0.36,0.95,,,,,,
February,,,1.56,1.68,1.84,2.38,2.25,1.49,1.64,2.71,4.02,2.39,1.52,4.12,1.82,3.23,0.55,0.65,0.96,1.75,0.87,0.06,1.08,3.47,,,,,,
March,,,1.93,1.92,0.58,0.7,3.57,1.95,1.05,0.5,1.7,1.52,1.52,0.39,1.34,1.96,1.18,1.6,3.15,1.9,1.12,1.62,0.33,0.15,,,,,,
April,,,2.08,0.37,1.84,1.53,1.72,2.66,1.88,2.76,1.5,0.52,4.61,0.68,1.65,1.33,1.38,1.15,1.91,2.19,1.91,1.03,0.82,0,,,,,,
May,,,2.82,1.84,0.97,1.56,0.35,2.11,3.19,3.85,0.63,1.16,1.1,1.98,0.46,3.24,3.97,1.5,1.5,2.99,1.8,2.22,0.91,0.84,,,,,,
June,,,2.06,1.63,1.27,2.93,1.89,1.51,1.12,4.62,2.95,1.9,2.06,1.65,2.33,1.91,0.83,1.37,2.53,0.93,3.03,0.91,1.21,0.58,,,,,,
July,,,3.83,1.67,0.78,5.53,0.99,2.93,1.11,2.62,4.44,1.45,1.65,2.37,2.72,0.34,1.75,0.42,5.57,1.91,3.28,1.94,2.57,2.36,,,,,,
August,,,1.4,1.74,1.31,1.41,2.59,1.98,3.02,5.32,0.39,5.85,1.6,0.71,1.17,0.91,0.79,1.66,1.24,2.35,1.55,5.23,3.81,1.56,,,,,,
September,,,1.58,2.36,3.23,1.91,3.05,0.72,0.8,2.87,4.36,1.85,2.86,2.18,1.88,4.26,1.72,1.95,1.48,0.98,0.63,1.42,2.66,1.03,,,,,,
October,,,3.67,1.74,4.13,6.84,2.6,1.82,2.88,0.81,4.81,1.87,5.86,1.96,0.87,3.55,3.99,1.36,1.39,3.2,0.98,7.92,3.95,3.2,,,,,,
November,,,3.58,3.22,3.05,3.39,4.22,5.93,3.59,0.74,2.22,3.15,2.93,2.58,1.52,3.15,3.16,3.2,4.16,0.82,2.58,2.22,2.14,1.92,,,,,,
December,,,4.49,0.65,1.81,1.05,5.57,1.54,1.45,0.98,2.6,2.64,1.9,0.48,2.62,1.05,4.13,0.9,1.44,1.25,0.85,3.5,0.6,3.31,,,,,,
Total,,24.26,33.9,21.8,22.47,32.64,29.65,27.96,22.74,30.85,29.92,25.28,28.94,21.4,21.15,27.73,26.82,19.42,25.96,21.52,20.89,29.19,20.44,19.37,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hartley House ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1884 Gauge moved a few feet but exposure not affected,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
