NEWPORT (MANSE),,,,,,,,,,,,,,,,,,,,,
Grid ref,NO 42352 28100,Long,-2.936594,Lat,56.441541,Elevation,150,ft,,,,,,,,,,,,,
Station no,5500,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,,,,2.04,4.24,1.71,3.44,0.9,2.01,3.33,1.94,1.91,1.29,,,,,,
February,,,,,,2.82,4.34,1.08,1.72,2.17,1.3,1.19,0.09,2.03,0.09,,,,,,
March,,,,,,1.66,0.85,2.01,3.64,0.37,1.76,1.1,2.37,1.44,2.37,,,,,,
April,,,,,,2.94,2,0.96,0.73,1.15,1.72,1.78,2.38,1.09,5.25,,,,,,
May,,,,,,3.55,1.63,2.18,1.36,2.39,1.66,3.33,2.71,1.64,1.72,,,,,,
June,,,,,,0.44,2.66,2.27,4.06,1.32,1.22,4.67,1,1.22,0.84,,,,,,
July,,,,,,1.71,2.72,2.21,0.74,2.64,2.02,4.58,2.9,2.76,3.57,,,,,,
August,,,,,,1.94,2.32,6.12,5.3,3.25,6.14,3.05,0.48,0.65,3.27,,,,,,
September,,,,,,2.99,3.93,5.59,2.02,0.71,4.34,1.22,1.48,1.19,2.69,,,,,,
October,,,,,,2,4.47,5.18,3.54,2.37,2.22,1.03,6.15,3.43,2.86,,,,,,
November,,,,,,0.99,4.64,1.82,2.23,3.47,3.1,4.85,1.25,2.18,0.61,,,,,,
December,,,,,,2.25,0.22,2.4,2.2,3.2,2.6,0.67,3.01,1.24,3.31,,,,,,
Total,,,,,,25.33,34.02,33.53,30.98,23.94,30.09,30.8,25.76,20.78,27.87,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Station no,5500,,,,,,,,,,,,,,,,,,,,
Midas,,,,,,,,,,,,,,,,,,,,,
Hyd Stn,,,,,,,,,,,,,,,,,,,,,
