COMRIE (DUNIRA GDNS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,NN731238,Long,-4.057124,Lat,56.389379,Elevation,270,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,5544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,8.39,11.11,5.08,1.96,1.65,4.74,9.68,4.88,4.58,8.2,9.44,6.98,3.89,4.11,6.22,4.66,1.01,5.31,4.53,4.67,9.83,7.78,2.86,4.79
February,,,,,,,5.19,4.56,7.23,3.18,6.16,1.92,5.2,2.06,8.21,2.93,2.36,7.2,5.67,7.37,4.6,0.76,1.47,5.98,3.34,1.6,6.51,2.72,1.75,6.51
March,,,,,,,3.13,3.43,5.27,4.19,2.57,7.31,3.28,0.51,3.63,2.68,5.92,4.6,1.84,4.07,2.58,5.1,1.31,4.91,2.67,3.06,5.51,1.77,4.89,3.19
April,,,,,,,2.3,0.38,2.9,3.44,2.07,4.06,4.01,3.37,2.78,0.99,11.62,3.16,3.68,3.81,4.11,2.98,2.73,1.39,2.53,1.3,1.66,1.57,4.08,6.24
May,,,,,,,3.68,4.57,2.25,1.46,2.18,5.51,4.29,3,5.03,1.42,5.13,4.65,3.99,2.16,1.94,3.56,3.24,5.93,2.83,2.89,2.72,3.71,1.75,4.31
June,,,,,,,2.18,6.54,3.21,0.82,0.76,2.07,4.14,3.37,4.93,4.33,5.29,4.54,1.45,1.69,2.37,3.14,3.32,2.64,1.88,4.49,1.94,4.45,2.55,2.62
July,,,,,,,3.47,5.7,5.92,4.68,3.98,3.05,2.35,3.67,3.43,4.28,4.82,3.36,1.58,6.9,2.68,2.38,4.66,2.84,1.13,5.36,4.46,5.33,6.02,3.92
August,,,,,,,3.67,2.89,2.63,1.21,2.95,8.18,7.64,3.09,2.88,5.71,0,7.04,5.39,8.32,8.07,5.15,1.96,4.81,1.07,6.96,5.43,5.84,2.09,4.36
September,,,,,,4.46,4.33,5.02,2.81,2.3,1.6,7.91,4.77,4.4,7.04,7.96,5.96,5.68,1.9,8.66,5.15,1.75,6.67,6.81,3.6,7.91,3.46,6.77,1.17,5.29
October,,,,,,5.09,4.11,10.32,4.77,7.55,5.91,4.4,12.69,6.17,6.53,0.99,2.93,5.82,7.92,4.68,1.5,5.85,3.7,8.86,4.11,4.14,3.82,5.5,5.84,6.11
November,,,,,,4.15,0.71,12.3,7.79,7.81,8.34,1.22,3.09,8.02,0.46,8.12,6.84,3.77,5.27,3.92,10.37,2.08,7.03,11.42,3.72,1.73,1.6,1.72,8.29,7.67
December,,,,,,9.13,3,6.69,4.49,10.73,4.14,9.68,2.87,6.99,5.96,6.86,1.88,11.7,9.18,2.81,7.4,4.46,7.23,8.52,9.6,9.19,8.25,6.29,11.18,5.47
Total,,,,,,,44.16,73.51,54.35,49.33,42.31,60.05,64.01,49.53,55.46,54.47,62.19,68.5,51.76,58.5,56.99,41.87,44.33,69.42,41.01,53.3,55.19,53.45,52.47,60.48
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Jan-Au Deleted estd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936 Gauge Move,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
