"COMRIE (DUNIRA GDNS)",,,,,,,,,,,,
Grid ref,NN731238,Long,-4.057124,Lat,56.389379,,,,,,,
Station no,5544,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,6.22,4.66,1.01,5.31,4.53,4.67,9.83,7.78,2.86,4.79,,
February,4.60,0.76,1.47,5.98,3.34,1.60,6.51,2.72,1.75,6.51,,
March,2.58,5.10,1.31,4.91,2.67,3.06,5.51,1.77,4.89,3.19,,
April,4.11,2.98,2.73,1.39,2.53,1.30,1.66,1.57,4.08,6.24,,
May,1.94,3.56,3.24,5.93,2.83,2.89,2.72,3.71,1.75,4.31,,
June,2.37,3.14,3.32,2.64,1.88,4.49,1.94,4.45,2.55,2.62,,
July,2.68,2.38,4.66,2.84,1.13,5.36,4.46,5.33,6.02,3.92,,
August,8.07,5.15,1.96,4.81,1.07,6.96,5.43,5.84,2.09,4.36,,
September,5.15,1.75,6.67,6.81,3.60,7.91,3.46,6.77,1.17,5.29,,
October,1.50,5.85,3.70,8.86,4.11,4.14,3.82,5.50,5.84,6.11,,
November,10.37,2.08,7.03,11.42,3.72,1.73,1.60,1.72,8.29,7.67,,
December,7.40,4.46,7.23,8.52,9.60,9.19,8.25,6.29,11.18,5.47,,
Total,56.99,41.87,44.33,69.42,41.01,53.30,55.19,53.45,52.47,60.48,,
Calc annual,56.99,41.87,44.33,69.42,41.01,53.30,55.19,53.45,52.47,60.48,,
Difference,0.00,0.00,0.00,0.00,0.00,0.00,-0.00,0.00,0.00,0.00,,
