ASHTEAD-THE-HUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ180575,Long,-0.30811,Lat,51.30473,Elevation,200,ft,,,,,,,,,,,,,,,,,,,,,,,
Station no,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930
January,,,,,,,,,,1.17,2.44,1.26,2.86,3.58,0.53,4.55,0.91,1.09,3.18,3.97,2.76,1.89,3.3,1.51,2.46,1.93,3.32,2.27,3.65,1.62,3.68
February,,,,,,,,,,0.49,4.01,1.13,1.98,0.85,3.98,4.65,4.37,0.79,1.11,2.2,0.61,0.27,2.33,4.39,0.68,4.11,2.27,4.42,1.53,0.61,0.92
March,,,,,,,,,,3.94,1.35,1.63,3.5,2.69,4.13,0.59,4.69,1.86,0.96,3.71,1.69,1.27,1.92,1.99,1,0.48,0.26,3.18,2.53,0.03,1.54
April,,,,,,,,,,1.84,1.46,1.97,0.03,2.43,0.77,1.44,0.93,2.28,3.87,2.57,2.69,0.95,2.63,2.05,4.15,2.85,3.58,2.03,1.62,0.87,1.53
May,,,,,,,,,,1.41,1.79,2.23,1.33,2.38,1.35,2.72,1.67,1.63,2,0.15,0.64,1.54,0.89,2.81,3.42,2.37,1.32,1.14,2.12,1.57,2.19
June,,,,,,,,,,3.58,1.5,2.21,2.81,0.34,0.71,0.8,1.71,1.8,1.02,1.17,1.63,0.07,1.1,0.33,3,0.14,3.98,3.61,2.38,1.03,0.48
July,,,,,,,,,,3.19,3.08,0.42,1.13,4.78,1.73,3.71,1.34,5.24,5.34,2.19,4.29,0.76,3.79,3.21,3.36,3.54,1.83,3.09,1.78,1.53,2.52
August,,,,,,,,,,2.39,2.87,1.24,5.75,2.02,1.68,1.91,2.96,4.79,0.98,2.38,1.61,1.29,2.33,2.25,3.31,2.25,1.49,4.27,2.89,1.78,3.09
September,,,,,,,,,,3.5,0.88,1.17,3.17,2.15,0.87,1.97,1.51,1.65,4.59,1.93,3.4,1.03,1.7,1.25,3.16,2.39,0.85,3.43,1.08,0.14,2.9
October,,,,,,,,,,4.43,3.25,3.24,2.89,3.47,1.35,2.36,4.35,3.33,1.26,0.81,1.23,0.74,1.19,6.08,3.54,2.51,2.46,1.45,5.69,3.5,1.08
November,,,,,,,,,,0.75,3.08,3.82,2.2,2.48,3.51,2.69,5.35,1.2,2.54,1.91,1.71,1.76,1.53,1.42,3.59,2.28,5.89,2.96,2.25,6.94,4.52
December,,,,,,,,,,3.73,4.58,7,3.14,0.91,8.17,5.64,2.76,1.73,2.08,4.48,2.31,1.3,4.37,2.43,3.35,2.46,0.33,4.86,2.61,6.75,1.71
Total,,,,,,,,,,30.42,30.29,27.32,30.79,28.08,28.78,33.03,32.55,27.39,28.93,27.47,24.57,12.87,27.08,29.72,35.02,27.31,27.58,36.71,30.13,26.37,26.16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gauge read at 9.30am,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1913 Sept 18 Inspection Gauge well exposed on terrace above lawn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Observer was the gardener,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1927 Apr June Aug and Total values changed in red Assume corrections to daily additions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930 Gauge terminated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
