"CATERHAM (ALDERSTEAD HEATH)",,,,,,,,,,,,
Grid ref,TQ302550,Long,-0.134634,Lat,51.279274,,,,,,,
Station no,79/5,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,3.87,2.80,1.27,1.70,3.44,4.58,2.54,3.10,3.28,3.14,,
February,7.17,0.98,1.64,2.67,1.90,0.50,4.29,2.63,0.14,2.52,,
March,3.96,3.98,0.50,2.56,1.42,0.84,1.75,2.01,2.41,2.11,,
April,3.52,1.77,2.88,0.40,0.40,2.12,0.23,1.42,2.59,0.89,,
May,2.53,1.69,2.16,3.22,4.62,0.40,1.70,2.64,0.88,1.78,,
June,1.66,1.69,1.87,4.96,2.57,3.10,1.11,4.47,1.65,1.64,,
July,2.33,0.76,3.95,3.86,1.41,4.73,3.69,2.20,1.02,3.39,,
August,5.03,3.19,2.28,3.49,1.48,3.39,2.76,3.31,1.04,3.32,,
September,3.41,3.24,3.49,2.36,2.66,2.95,3.18,5.69,0.20,3.93,,
October,1.22,3.68,4.18,2.81,4.64,1.58,2.14,3.65,3.03,6.68,,
November,6.90,3.74,1.98,5.96,1.31,0.95,2.94,2.54,3.55,5.53,,
December,3.12,3.29,0.79,2.03,2.94,4.16,2.64,3.61,5.42,3.50,,
Total,44.72,30.81,26.99,36.02,28.79,29.30,28.97,37.27,25.21,38.43,,
Calc annual,44.72,30.81,26.99,36.02,28.79,29.30,28.97,37.27,25.21,38.43,,
Difference,0.00,-0.00,0.00,0.00,-0.00,0.00,-0.00,0.00,0.00,0.00,,
