CATERHAM-ALDERSTEAD-HEATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Grid ref,TQ302550,Long,-0.134634,Lat,51.279274,Elevation,577,ft,,,,,,,,,,,,,,,,,,,,,,
Station no,79/5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960
January,,,,,,,5.84,3.81,5.49,2.58,2.5,4.3,6.75,2.71,1.8,3.16,2.57,4.48,1.49,1.25,3.87,2.8,1.27,1.7,3.44,4.58,2.54,3.1,3.28,3.14
February,,,,,,,5.08,0.99,1.99,2.44,3.31,0.77,2.06,1.01,1.99,2.77,1.68,2.13,1.51,5.39,7.17,0.98,1.64,2.67,1.9,0.5,4.29,2.63,0.14,2.52
March,,,,,,,3.84,0.45,1.78,3.29,3.62,2.28,0.35,0.07,1.33,1.72,6.57,0.84,1.15,1.89,3.96,3.98,0.5,2.56,1.42,0.84,1.75,2.01,2.41,2.11
April,,,,,,,3.48,0.23,3.03,2.05,2.47,1.77,1.18,1.83,1.45,2.56,2.13,1.71,1.95,3.31,3.52,1.77,2.88,0.4,0.4,2.12,0.23,1.42,2.59,0.89
May,,,,,,,2.3,2.42,1.73,1.12,2.15,3.41,2.76,0.63,2.94,3.22,1.78,1.71,2.34,1.43,2.53,1.69,2.16,3.22,4.62,0.4,1.7,2.64,0.88,1.78
June,,,,,,,1.85,0.77,1.23,0.38,2.83,0.13,1.92,1.77,2.56,3.22,2.79,3.03,1.19,1.82,1.66,1.69,1.87,4.96,2.57,3.1,1.11,4.47,1.65,1.64
July,,,,,,4.29,1.08,2.04,2.72,3.15,2.99,2.29,1.86,2.18,3.42,2.65,2.35,1.95,1.17,3.39,2.33,0.76,3.95,3.86,1.41,4.73,3.69,2.2,1.02,3.39
August,,,,,,1.01,2.29,2.35,3.46,0.11,4.52,3.18,1.36,3.02,2.09,5.11,0.2,5.35,1.42,2.27,5.03,3.19,2.28,3.49,1.48,3.39,2.76,3.31,1.04,3.32
September,,,,,,2.12,3.57,2.86,1.98,1.59,0.55,2.28,1.98,2.64,2.49,4.23,1.56,2.02,0.52,3.94,3.41,3.24,3.49,2.36,2.66,2.95,3.18,5.69,0.2,3.93
October,,,,,,2.47,3.34,3.63,7.23,3.71,1.42,3.14,3.56,4.56,2.94,1.43,0.33,2.27,7.84,0.44,1.22,3.68,4.18,2.81,4.64,1.58,2.14,3.65,3.03,6.68
November,,,,,,4.86,2.33,4.61,6,8.76,3.46,2.03,2.24,5.09,0.61,5.18,1.33,2.25,3.24,6.97,6.9,3.74,1.98,5.96,1.31,0.95,2.94,2.54,3.55,5.53
December,,,,,,3.83,4.55,3.98,2.13,1.99,2.89,3.77,2.39,1.98,3.83,3.46,2.74,4.59,1.73,1.96,3.12,3.29,0.79,2.03,2.94,4.16,2.64,3.61,5.42,3.5
Total,,,,,,,39.55,28.14,38.77,31.17,32.71,29.35,28.41,27.49,27.45,38.71,26.03,32.33,25.55,34.06,44.72,30.81,26.99,36.02,28.79,29.3,28.97,37.27,25.21,38.43
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No info to locate this gauge other than NGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
There is a small property Cold Blow Cottage in centre of this NGR ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note 1957 comment about moving to another part of garden as there are no houses in the rest of this site,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1944 March Bought new MO gauge and measure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1945 Jan and Oct circled and low? written beside values,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954 Nov 10 Inspection Gauge sound MO Measure Site over shadowed by trees E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957 May 8 Gauge moved to another part of garden free from obstructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post 1960 known as Alderstead Heath SRC_ID 6609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1936-1968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
