"DALBEATTIE, DRUMSTINCHALL",,,,,,,,,,,,,,,,,,,,,
Grid ref,NX884579,Long,-3.7419929,Lat,54.903313,Elevation,354,ft,,,,,,,,,,,,,
Station no,5023,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940
January,,,4.64,2.86,5.41,4.21,6.38,4.36,10.3,3.25,6.68,4.57,8.28,6.11,7.15,1.61,4.4,4.3,5.53,5.97,
February,,,4.04,6.2,0.67,4.95,6.16,3.41,3.84,1.62,0.39,3.61,0.02,3.75,0.4,4.21,2.45,5.34,2.36,5.75,
March,,,2.65,2,0.95,1.14,2.1,4.18,4.91,1.52,3.7,1.27,3.53,2.71,2.78,1.33,3.34,2.28,3.01,3.43,
April,,,2.53,4.49,3.53,5.08,3.34,2.08,1.72,1.14,2,1.83,4.21,1.94,4.17,4.15,1.65,3.98,0.37,2.46,
May,,,3.54,2.03,4.96,7.14,2.72,2.7,2.23,3.08,1.72,4.23,2.84,3.17,3.75,0.85,1.89,1.45,6.67,0.44,
June,,,1.77,1.72,2.88,0.27,3.8,5.3,6.96,3.52,2.87,6.89,1.68,3.25,2.7,7.29,3.79,4.76,7.28,3.86,
July,,,5.69,4.78,5.18,2.3,3.96,5.09,4.08,6.25,3.54,6.35,5.32,4.8,2.02,2.17,4.46,5.22,7.7,7.22,
August,,,4.18,10.6,5.95,5.09,4.67,7.22,6.92,7.06,8.34,3.34,2.43,2.42,7.11,3.18,3.88,3.23,2.49,1.49,
September,,,3.81,6.08,6.42,3.35,3.78,7.39,3.82,0.84,4.23,1.86,5.51,1.47,5.94,6.21,5.66,3.96,5.08,3.24,
October,,,2.17,7.66,4.61,4.69,3.74,5.46,9.53,7.81,8.33,4.32,6.97,2.69,5.49,8.29,3.75,5.76,9.86,4.21,
November,,,1.95,5.23,3.62,1.79,8.43,5.5,7.27,7.24,5.66,9.41,3.89,2.47,0.9,7.38,5.54,2.46,9.38,7.37,
December,,,5.31,5.87,7.9,3.87,1.21,1.97,4.93,7.99,4.29,5.59,10.05,1.51,7.9,2.86,6.07,4.06,4.37,2.51,
Total,,,42.28,59.52,52.08,43.88,50.29,54.66,66.51,51.32,51.75,53.27,54.73,36.29,50.31,49.53,46.88,46.8,64.1,47.95,
,,,,,,,,,,,,,,,,,,,,,
Elevation 400ft on record but no precise location given for gauge. NGR for house and associated elevation,,,,,,,,,,,,,,,,,,,,,
