RUGBY DUNCHURCH HALL,,,,,,,,,,,,
Grid ref,SP484710,Long,-1.291106,Lat,52.334958,Elevation,400,ft,,,,
Station no,2458,,,,,,,,,,,
,,,,,,,,,,,,
,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,,
January,,1.73,0.89,1.57,,2.76,1.24,2.31,1.3,2.97,,
February,,0.33,0.89,2.56,,0.85,0.38,3.34,0.97,2.05,,
March,,1.06,0.57,0.34,,1.73,2.19,2.56,1.01,1.47,,
April,,1.34,0.52,0.25,,1.43,1.14,1.44,1.56,2.46,,
May,,3.31,1.81,2.5,,0.66,0.3,0.8,3.54,1.86,,
June,,1.68,2.47,1.01,,0.11,2.53,2.95,1,0.88,,
July,,2.75,1.97,3.43,,2.47,1.75,0.34,1.11,1.63,,
August,,3.5,2.05,1.35,,2.4,1.22,3.88,3.72,0.6,,
September,,1.27,3.55,0.93,,0.58,4.9,2.17,0.65,2.29,,
October,,4.63,3,2.79,,2.92,2.7,1.64,3.3,2.32,,
November,,1.71,1.28,1.4,,4.53,1.17,1,1.93,1.55,,
December,,2.89,1.26,1.65,,1.86,3.42,2.46,2.29,1.58,,
Total,,26.2,20.26,19.78,,22.3,22.94,24.89,22.38,21.66,,
,,,,,,,,,,,,
Gauge apparently re-started in 1930s but left as a separate csv due to long gap,,,,,,,,,,,,
