BLETCHLEY (BLETCHLEY PARK),,,,,,,,,,,,
Grid ref,SP866342,Long,-0.739976,Lat,51.999499,,,,,,,
Station no,1020/8,,,,,,,,,,,
,,,,,,,,,,,,
,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,,
January,,,,,,,1.02,,,3.24,,
February,,,,,,,2.60,,,2.07,,
March,,,,,,,1.25,,,1.22,,
April,,,,,,,0.26,,,0.48,,
May,,,,,,,1.30,,,1.70,,
June,,,,,,,1.39,,,2.44,,
July,,,,,,,2.49,,,3.72,,
August,,,,,,,3.71,,,3.33,,
September,,,,,,,2.91,,,3.54,,
October,,,,,,,1.85,,,4.66,,
November,,,,,,,1.92,,,3.37,,
December,,,,,,,2.48,,,3.84,,
Total,,,,,,,23.18,,,33.61,,
Calc annual,0.00,0.00,0.00,0.00,0.00,0.00,23.18,0.00,0.00,33.61,,
Difference,NaN,NaN,NaN,NaN,NaN,NaN,-0.00,NaN,NaN,0.00,,
