MID CALDER NEW PARK,,,,,,,,,,,,,,,,,,,,
Grid ref,NT048647,Long,-3.5227645,Lat,55.866039,Elevation,548,ft,,,,,,,,,,,,
Station no,RR8219,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889
January,,,,,,,,,,,2.23,1.66,,3.17,,,,,,
February,,,,,,,,,,,2.84,3.15,,2.3,,,,,,
March,,,,,,,,,,,1.38,2.98,,0.48,,,,,,
April,,,,,,,,,,,4.32,0.39,,2.05,,,,,,
May,,,,,,,,,,,1.38,2.13,,0.61,,,,,,
June,,,,,,,,,,,1.27,1.84,,0.28,,,,,,
July,,,,,,,,,,,2.7,2.94,,6.61,,,,,,
August,,,,,,,,,,,1.37,5.2,,2.71,,,,,,
September,,,,,,,,,,,1.77,2.95,,3.67,,,,,,
October,,,,,,,,,,,1.17,2.35,,3.46,,,,,,
November,,,,,,,,,,,1.44,3.44,,4.57,,,,,,
December,,,,,,,,,,,2.77,3.72,,3.26,,,,,,
Total,,,,,,,,49.26,,,24.64,32.75,,33.17,,,,,,
